sa2_code,sa2_name,state_name,remoteness,remoteness_score,analysis_year,sa4_name,gccsa_name,coping_capacity,adaptive_capacity,andri,social_character,economic_capital,planning_build_environment,emergency_services,information_access,govt_leadership,community_social_engagement,community_capital,andri_quartile,coping_capacity_quartile,adaptive_capacity_quartile,lga_names
305011105,Brisbane City,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.5109,0.6139,0.6176,0.3993,0.5898,0.3036,0.4729,0.6180,0.8163,0.2752,0.6080,M50,MC,MA,Brisbane
309011224,Broadbeach Waters,QLD,Metropolitan,1,2024,Gold Coast,Rest of Qld,0.5521,0.7456,0.7313,0.5698,0.8303,0.2514,0.4021,0.6066,0.7343,0.6829,0.5565,H75,MC,HA,Gold Coast
312011338,Broadsound - Nebo,QLD,Outer regional,3,2024,Mackay,Rest of Qld,0.4474,0.4343,0.4602,0.7638,0.4380,0.6848,0.4163,0.1289,0.4958,0.4214,0.5047,L25,LC,LA,Isaac
304021087,Brookfield - Kenmore Hills,QLD,Metropolitan,1,2024,Brisbane - West,Greater Brisbane,0.6612,0.8914,0.8916,0.7005,0.8509,0.5480,0.2373,0.6180,0.7706,0.9113,0.7034,H75,MC,HA,Brisbane
311031312,Browns Plains,QLD,Metropolitan,1,2024,Logan - Beaudesert,Greater Brisbane,0.4549,0.3571,0.4084,0.2826,0.6145,0.6809,0.4131,0.5997,0.4868,0.2735,0.3079,L25,LC,LA,Logan
316021418,Buddina - Minyama,QLD,Metropolitan,1,2024,Sunshine Coast,Rest of Qld,0.6756,0.6690,0.7406,0.6348,0.8155,0.4463,0.4394,0.5994,0.6061,0.7302,0.6730,H75,HC,HA,Sunshine Coast
316011413,Buderim - North,QLD,Metropolitan,1,2024,Sunshine Coast,Rest of Qld,0.7119,0.7422,0.8129,0.5641,0.8190,0.6095,0.4353,0.5994,0.6855,0.7534,0.6940,H75,HC,HA,Sunshine Coast
316011414,Buderim - South,QLD,Metropolitan,1,2024,Sunshine Coast,Rest of Qld,0.6816,0.7221,0.7818,0.6048,0.7314,0.6625,0.4350,0.5994,0.6765,0.7278,0.6414,H75,HC,HA,Sunshine Coast
305021114,Bulimba,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.6600,0.7889,0.8178,0.6436,0.7484,0.4532,0.4518,0.6180,0.7402,0.7594,0.6183,H75,MC,HA,Brisbane
319011495,Bundaberg,QLD,Inner regional,2,2024,Wide Bay,Rest of Qld,0.3949,0.3627,0.3863,0.2373,0.5155,0.2962,0.4417,0.5580,0.5084,0.2523,0.5309,L25,LC,LA,Bundaberg
319011496,Bundaberg East - Kalkie,QLD,Inner regional,2,2024,Wide Bay,Rest of Qld,0.5794,0.4979,0.5680,0.4529,0.7018,0.5330,0.4400,0.5580,0.5074,0.5343,0.5516,M50,MC,MA,Bundaberg
319011497,Bundaberg North - Gooburrum,QLD,Inner regional,2,2024,Wide Bay,Rest of Qld,0.5113,0.4760,0.5192,0.3079,0.6501,0.5439,0.4403,0.5580,0.5109,0.4845,0.5402,L25,MC,MA,Bundaberg
319011498,Bundaberg Surrounds - North,QLD,Inner regional,2,2024,Wide Bay,Rest of Qld,0.5604,0.5152,0.5709,0.5749,0.6376,0.6072,0.4368,0.5580,0.5630,0.4864,0.4501,M50,MC,MA,Bundaberg
319011499,Bundaberg Surrounds - South,QLD,Inner regional,2,2024,Wide Bay,Rest of Qld,0.5014,0.4937,0.5272,0.5614,0.6370,0.3563,0.4377,0.5220,0.5591,0.4483,0.4929,M50,MC,MA,Bundaberg
309101268,Bundall,QLD,Metropolitan,1,2024,Gold Coast,Rest of Qld,0.5884,0.6927,0.7117,0.5128,0.8405,0.3682,0.4101,0.6066,0.6895,0.6489,0.5242,H75,MC,HA,Gold Coast
310031284,Bundamba,QLD,Metropolitan,1,2024,Ipswich,Greater Brisbane,0.4740,0.3765,0.4309,0.3902,0.7036,0.5281,0.4583,0.6058,0.5138,0.2734,0.2465,L25,MC,LA,Ipswich
318011461,Burdekin,QLD,Outer regional,3,2024,Townsville,Rest of Qld,0.4402,0.4907,0.4972,0.7596,0.5934,0.6528,0.4144,0.0858,0.4929,0.5408,0.3831,L25,LC,MA,Burdekin
318021582,Burdell - Mount Low,QLD,Outer regional,3,2024,Townsville,Rest of Qld,0.4912,0.6343,0.6229,0.6197,0.6085,0.7056,0.4651,0.5966,0.6878,0.5341,0.1594,M50,MC,MA,Townsville
309011225,Burleigh Heads,QLD,Metropolitan,1,2024,Gold Coast,Rest of Qld,0.6164,0.6973,0.7293,0.5521,0.8214,0.3836,0.4011,0.6066,0.7325,0.5893,0.6104,H75,MC,HA,Gold Coast
309011226,Burleigh Waters,QLD,Metropolitan,1,2024,Gold Coast,Rest of Qld,0.6924,0.5857,0.6903,0.5474,0.8205,0.6972,0.4014,0.6066,0.5752,0.6108,0.6206,M50,HC,MA,Gold Coast
313041372,Burpengary,QLD,Metropolitan,1,2024,Moreton Bay - North,Greater Brisbane,0.6457,0.4505,0.5684,0.5399,0.7611,0.5787,0.4232,0.6039,0.4651,0.4995,0.5739,M50,MC,LA,Moreton Bay
313021364,Burpengary - East,QLD,Metropolitan,1,2024,Moreton Bay - North,Greater Brisbane,0.5933,0.5462,0.6095,0.6116,0.7287,0.5984,0.4298,0.6039,0.5423,0.5803,0.3979,M50,MC,MA,Moreton Bay
319051522,Burrum - Fraser,QLD,Outer regional,3,2024,Wide Bay,Rest of Qld,0.4062,0.4182,0.4306,0.4657,0.7018,0.4481,0.4342,0.1015,0.4616,0.4385,0.4266,L25,LC,LA,Fraser Coast
313021572,Caboolture - East,QLD,Metropolitan,1,2024,Moreton Bay - North,Greater Brisbane,0.5016,0.4625,0.5050,0.2806,0.5965,0.6001,0.4326,0.6039,0.5031,0.4685,0.4938,L25,MC,LA,Moreton Bay
313021366,Caboolture - South,QLD,Metropolitan,1,2024,Moreton Bay - North,Greater Brisbane,0.4632,0.3613,0.4151,0.2287,0.6124,0.5386,0.4307,0.6039,0.4966,0.2673,0.4606,L25,LC,LA,Moreton Bay
313021573,Caboolture - West,QLD,Metropolitan,1,2024,Moreton Bay - North,Greater Brisbane,0.5643,0.4578,0.5319,0.3720,0.7118,0.4644,0.4313,0.6039,0.5021,0.4605,0.5537,M50,MC,LA,Moreton Bay
306021145,Cairns City,QLD,Outer regional,3,2024,Cairns,Rest of Qld,0.3795,0.5197,0.4918,0.3684,0.5818,0.2513,0.4751,0.5949,0.6267,0.3967,0.2715,L25,LC,MA,Cairns
303051073,Calamvale - Stretton,QLD,Metropolitan,1,2024,Brisbane - South,Greater Brisbane,0.6141,0.5227,0.6034,0.4127,0.7193,0.8426,0.4172,0.6180,0.6812,0.3147,0.4573,M50,MC,MA,Brisbane
316061440,Caloundra Hinterland,QLD,Inner regional,2,2024,Sunshine Coast,Rest of Qld,0.7028,0.6789,0.7627,0.6234,0.7952,0.6212,0.4177,0.5994,0.6589,0.6692,0.6658,H75,HC,HA,Sunshine Coast
316021419,Caloundra - Kings Beach,QLD,Metropolitan,1,2024,Sunshine Coast,Rest of Qld,0.4996,0.5065,0.5355,0.3852,0.6434,0.2597,0.4402,0.5994,0.5588,0.4750,0.6785,M50,MC,MA,Sunshine Coast
316021580,Caloundra West - Baringa,QLD,Metropolitan,1,2024,Sunshine Coast,Rest of Qld,0.5632,0.5390,0.5893,0.5028,0.6098,0.6566,0.4387,0.5994,0.5943,0.4871,0.4416,M50,MC,MA,Sunshine Coast
317011445,Cambooya - Wyreema,QLD,Inner regional,2,2024,Toowoomba,Rest of Qld,0.5639,0.7431,0.7354,0.7240,0.7204,0.6881,0.4508,0.5966,0.7216,0.6984,0.2342,H75,MC,HA,Toowoomba
310041297,Camira - Gailes,QLD,Metropolitan,1,2024,Ipswich,Greater Brisbane,0.5239,0.4576,0.5121,0.4978,0.7549,0.5439,0.4423,0.6058,0.5202,0.4331,0.2720,L25,MC,LA,Ipswich
303011047,Camp Hill,QLD,Metropolitan,1,2024,Brisbane - South,Greater Brisbane,0.6158,0.7457,0.7635,0.7029,0.7351,0.3037,0.4312,0.6180,0.7046,0.7303,0.6908,H75,MC,HA,Brisbane
303011048,Cannon Hill,QLD,Metropolitan,1,2024,Brisbane - South,Greater Brisbane,0.6477,0.6167,0.6882,0.5989,0.7435,0.4399,0.4300,0.6180,0.6411,0.5724,0.6579,M50,MC,MA,Brisbane
301011004,Capalaba,QLD,Metropolitan,1,2024,Brisbane - East,Greater Brisbane,0.6961,0.4937,0.6267,0.5857,0.8340,0.6349,0.3661,0.5997,0.5290,0.4937,0.6712,M50,HC,MA,Redland
315011396,Cape York,QLD,Remote,4,2024,Queensland - Outback,Rest of Qld,0.2935,0.3123,0.3093,0.5131,0.4869,0.4530,0.4082,0.0569,0.4730,0.1986,0.2582,L25,LC,LA,Napranum; Mapoon; Hope Vale; Wujal Wujal; Lockhart River; Cook
303011049,Carina,QLD,Metropolitan,1,2024,Brisbane - South,Greater Brisbane,0.6466,0.5839,0.6642,0.5106,0.6759,0.5890,0.4300,0.6180,0.6464,0.4976,0.6860,M50,MC,MA,Brisbane
303011050,Carina Heights,QLD,Metropolitan,1,2024,Brisbane - South,Greater Brisbane,0.5547,0.5562,0.5974,0.4858,0.7008,0.2834,0.4305,0.6180,0.6695,0.4038,0.6735,M50,MC,MA,Brisbane
303011051,Carindale,QLD,Metropolitan,1,2024,Brisbane - South,Greater Brisbane,0.6784,0.6922,0.7586,0.6072,0.8652,0.3876,0.4298,0.6180,0.6319,0.7371,0.6995,H75,HC,HA,Brisbane
315021404,Carpentaria,QLD,Very remote,5,2024,Queensland - Outback,Rest of Qld,0.2123,0.2905,0.2639,0.5313,0.4003,0.3512,0.4500,0.0483,0.4513,0.1848,0.0745,L25,LC,LA,Mornington; Burke; Doomadgee; Carpentaria; Mount Isa
309061246,Carrara,QLD,Metropolitan,1,2024,Gold Coast,Rest of Qld,0.6637,0.5744,0.6666,0.5361,0.7866,0.7176,0.3960,0.6066,0.5878,0.5690,0.5675,M50,HC,MA,Gold Coast
302011024,Carseldine,QLD,Metropolitan,1,2024,Brisbane - North,Greater Brisbane,0.6764,0.6273,0.7113,0.4582,0.7107,0.7430,0.4432,0.6180,0.6694,0.5493,0.6883,H75,HC,MA,Brisbane
314011383,Cashmere,QLD,Metropolitan,1,2024,Moreton Bay - South,Greater Brisbane,0.6314,0.6300,0.6890,0.7046,0.7124,0.6204,0.3534,0.6039,0.5607,0.7205,0.5452,M50,MC,MA,Moreton Bay
308011190,Central Highlands - East,QLD,Outer regional,3,2024,Fitzroy,Rest of Qld,0.3589,0.4567,0.4383,0.5335,0.4062,0.6076,0.4296,0.1193,0.5612,0.3687,0.4039,L25,LC,LA,Central Highlands (Qld); Woorabinda
308011191,Central Highlands - West,QLD,Remote,4,2024,Fitzroy,Rest of Qld,0.4574,0.4729,0.4922,0.8171,0.5012,0.6130,0.4249,0.1271,0.5815,0.3709,0.4976,L25,LC,LA,Central Highlands (Qld)
311031313,Chambers Flat - Logan Reserve,QLD,Metropolitan,1,2024,Logan - Beaudesert,Greater Brisbane,0.3309,0.5850,0.5187,0.4082,0.5914,0.1453,0.4103,0.5997,0.6725,0.4583,0.2567,L25,LC,MA,Logan
304021088,Chapel Hill,QLD,Metropolitan,1,2024,Brisbane - West,Greater Brisbane,0.6021,0.8290,0.8160,0.6419,0.7527,0.5130,0.2390,0.6180,0.7517,0.8198,0.6841,H75,MC,HA,Brisbane
315031409,Charleville,QLD,Very remote,5,2024,Queensland - Outback,Rest of Qld,0.4252,0.4216,0.4413,0.5523,0.5862,0.5215,0.4598,0.0819,0.5919,0.2462,0.4971,L25,LC,LA,Murweh
318011462,Charters Towers,QLD,Outer regional,3,2024,Townsville,Rest of Qld,0.4806,0.4488,0.4855,0.4420,0.6117,0.5053,0.4182,0.5271,0.4857,0.4660,0.4135,L25,MC,LA,Charters Towers
304031092,Chelmer - Graceville,QLD,Metropolitan,1,2024,Brisbane - West,Greater Brisbane,0.5824,0.8606,0.8285,0.6663,0.7929,0.3586,0.2413,0.6180,0.7780,0.8393,0.7193,H75,MC,HA,Brisbane
302021028,Chermside,QLD,Metropolitan,1,2024,Brisbane - North,Greater Brisbane,0.4093,0.4325,0.4422,0.2742,0.5173,0.2130,0.4582,0.6180,0.6049,0.2485,0.6028,L25,LC,LA,Brisbane
302021029,Chermside West,QLD,Metropolitan,1,2024,Brisbane - North,Greater Brisbane,0.6669,0.6745,0.7397,0.5653,0.7319,0.4601,0.4573,0.6180,0.7187,0.5657,0.7221,H75,HC,HA,Brisbane
307011172,Chinchilla,QLD,Outer regional,3,2024,Darling Downs - Maranoa,Rest of Qld,0.3597,0.4892,0.4619,0.6125,0.6102,0.5542,0.3893,0.1116,0.5093,0.5138,0.2613,L25,LC,MA,Western Downs
310031285,Churchill - Yamanto,QLD,Metropolitan,1,2024,Ipswich,Greater Brisbane,0.4535,0.4467,0.4717,0.5074,0.6835,0.3424,0.4595,0.6058,0.4899,0.4557,0.2521,L25,LC,LA,Ipswich
