state,lga_id,lga_name,sa2_count,mean_remoteness_score,worst_remoteness_score,coping_capacity,adaptive_capacity,andri,social_character,economic_capital,planning_build_environment,emergency_services,information_access,govt_leadership,community_social_engagement,community_capital
QLD,1372,North Burnett,2,2.567,3,0.3957,0.4445,0.445,0.5739,0.4608,0.4906,0.4117,0.0716,0.5109,0.4201,0.5791
QLD,1373,Northern Peninsula Area,1,5.0,5,0.1691,0.141,0.1422,0.3555,0.256,0.3572,0.4597,0.0396,0.2082,0.2107,0.1117
QLD,1374,Palm Island,1,4.0,4,0.1232,0.1427,0.1283,0.218,0.2008,0.4496,0.4158,0.0213,0.1342,0.3114,0.0643
QLD,1375,Paroo,1,5.0,5,0.3602,0.3927,0.3932,0.6583,0.3959,0.47,0.4428,0.0702,0.5725,0.2157,0.4413
QLD,1376,Pormpuraaw,1,5.0,5,0.1392,0.145,0.1351,0.3527,0.0568,0.7829,0.1458,0.0283,0.2771,0.1237,0.1269
QLD,1377,Quilpie,1,5.0,5,0.3602,0.3927,0.3932,0.6583,0.3959,0.47,0.4428,0.0702,0.5725,0.2157,0.4413
QLD,1378,Redland,13,2.622,4,0.5675,0.564,0.6108,0.6608,0.722,0.5501,0.3804,0.3575,0.5736,0.5684,0.6195
QLD,1379,Richmond,1,5.0,5,0.4024,0.3565,0.385,0.8157,0.4996,0.517,0.4485,0.0998,0.4973,0.2562,0.3629
QLD,1380,Rockhampton,13,2.0,2,0.4687,0.5935,0.5844,0.8592,0.6295,0.2144,0.4479,0.4388,0.6288,0.544,0.4898
QLD,1381,Scenic Rim,3,1.876,2,0.4264,0.5048,0.5016,0.6269,0.7197,0.3978,0.4232,0.134,0.5664,0.4591,0.4337
QLD,1382,Somerset,4,1.885,2,0.5068,0.463,0.508,0.5387,0.631,0.3934,0.4217,0.5817,0.5458,0.4053,0.4428
QLD,1383,South Burnett,4,2.0,2,0.3529,0.4347,0.4209,0.5481,0.5623,0.3357,0.4097,0.2967,0.4995,0.4165,0.3076
QLD,1384,Southern Downs,6,2.005,3,0.3944,0.5158,0.4956,0.7059,0.5619,0.3882,0.389,0.273,0.5317,0.5347,0.3348
QLD,1385,Sunshine Coast,30,1.454,2,0.6781,0.6524,0.7306,0.6463,0.7828,0.5935,0.4201,0.5978,0.6429,0.6404,0.6101
QLD,1386,Tablelands,3,3.0,3,0.4122,0.5046,0.495,0.5093,0.6466,0.6434,0.4547,0.1003,0.6072,0.396,0.3602
QLD,1387,Toowoomba,20,2.0,2,0.4161,0.5136,0.5048,0.6034,0.544,0.3956,0.3668,0.4319,0.534,0.5259,0.3451
QLD,1388,Torres,1,5.0,5,0.2617,0.3234,0.3053,0.4799,0.3522,0.4225,0.4594,0.0621,0.4537,0.2518,0.2391
QLD,1389,Torres Strait Island,1,5.0,5,0.1816,0.259,0.2307,0.3413,0.1753,0.4398,0.4456,0.0237,0.3857,0.2149,0.1802
QLD,1390,Townsville,26,3.0,3,0.5014,0.6858,0.6645,0.7292,0.7935,0.628,0.4584,0.2162,0.7136,0.5954,0.2985
QLD,1391,Weipa,1,5.0,5,0.4995,0.3582,0.4296,0.697,0.378,0.7751,0.4605,0.583,0.4644,0.3096,0.2945
QLD,1392,Western Downs,5,2.848,3,0.3265,0.4473,0.4188,0.593,0.4862,0.4787,0.3832,0.1342,0.5084,0.4289,0.2994
QLD,1393,Whitsunday,4,3.013,4,0.4426,0.4156,0.4447,0.697,0.6204,0.5661,0.4204,0.1203,0.4873,0.395,0.4301
QLD,1394,Winton,1,5.0,5,0.3681,0.4241,0.4189,0.7411,0.4701,0.4698,0.357,0.0882,0.6176,0.2098,0.4284
QLD,1395,Woorabinda,1,3.0,3,0.3589,0.4567,0.4383,0.5335,0.4062,0.6076,0.4296,0.1193,0.5612,0.3687,0.4039
QLD,1396,Wujal Wujal,1,4.0,4,0.2935,0.3123,0.3093,0.5131,0.4869,0.453,0.4082,0.0569,0.473,0.1986,0.2582
QLD,1397,Yarrabah,1,3.0,3,0.1585,0.3195,0.2662,0.283,0.0695,0.715,0.4415,0.0263,0.346,0.3991,0.0233
