sa2_code,sa2_name,state_name,remoteness,remoteness_score,analysis_year,sa4_name,gccsa_name,coping_capacity,adaptive_capacity,andri,social_character,economic_capital,planning_build_environment,emergency_services,information_access,govt_leadership,community_social_engagement,community_capital,andri_quartile,coping_capacity_quartile,adaptive_capacity_quartile,lga_names
312031359,Airlie - Whitsundays,QLD,Remote,4,2024,Mackay,Rest of Qld,0.4092,0.4329,0.4425,0.5811,0.5142,0.6543,0.4342,0.1193,0.5034,0.4073,0.4243,L25,LC,LA,Whitsunday
210011226,Airport West,VIC,Metropolitan,1,2024,Melbourne - North West,Greater Melbourne,0.6340,0.5504,0.6335,0.5399,0.8361,0.2079,0.4497,0.7582,0.6602,0.4066,0.6462,M50,MC,MA,Moonee Valley
318021467,Aitkenvale,QLD,Outer regional,3,2024,Townsville,Rest of Qld,0.5197,0.5168,0.5523,0.3850,0.7532,0.4762,0.4717,0.5966,0.6238,0.3953,0.3569,M50,MC,MA,Townsville
701021010,Alawa,NT,Outer regional,3,2024,Darwin,Greater Darwin,0.3713,0.2881,0.3231,0.3887,0.5996,0.0959,0.5346,0.5772,0.3009,0.3958,0.4327,L25,LC,LA,Darwin
509011225,Albany,WA,Outer regional,3,2024,Western Australia - Wheat Belt,Rest of WA,0.4420,0.5018,0.5059,0.4362,0.7229,0.1961,0.2727,0.6042,0.4757,0.5881,0.6129,L25,LC,MA,Albany
314011382,Albany Creek,QLD,Metropolitan,1,2024,Moreton Bay - South,Greater Brisbane,0.6978,0.5456,0.6647,0.7227,0.8243,0.5413,0.3539,0.6039,0.4045,0.7747,0.7018,M50,HC,MA,Moreton Bay
509011226,Albany Surrounds,WA,Outer regional,3,2024,Western Australia - Wheat Belt,Rest of WA,0.3907,0.6199,0.5681,0.9669,0.5545,0.3624,0.2660,0.1328,0.6032,0.6369,0.4656,M50,LC,MA,Albany
206051128,Albert Park,VIC,Metropolitan,1,2024,Melbourne - Inner,Greater Melbourne,0.6601,0.8326,0.8490,0.5369,0.7170,0.1645,0.5683,0.8856,0.8455,0.6725,0.7091,H75,MC,HA,Port Phillip
305031119,Albion,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.5657,0.6844,0.6944,0.5067,0.6183,0.3505,0.4668,0.6180,0.7635,0.5121,0.6304,M50,MC,HA,Brisbane
107031136,Albion Park - Macquarie Pass,NSW,Metropolitan,1,2024,Illawarra,Rest of NSW,0.6102,0.6628,0.7014,0.6769,0.6193,0.5727,0.5826,0.6423,0.6629,0.6308,0.3763,M50,MC,HA,Shellharbour
107031137,Albion Park Rail,NSW,Metropolitan,1,2024,Illawarra,Rest of NSW,0.6276,0.5771,0.6493,0.4211,0.7461,0.5771,0.5844,0.6423,0.6121,0.5372,0.4532,M50,MC,MA,Shellharbour
109011172,Albury - East,NSW,Inner regional,2,2024,Murray,Rest of NSW,0.6717,0.6186,0.7025,0.6047,0.7132,0.5843,0.6121,0.5862,0.6033,0.6341,0.5396,M50,HC,MA,Albury
109011173,Albury - North,NSW,Inner regional,2,2024,Murray,Rest of NSW,0.6634,0.5765,0.6679,0.4267,0.7083,0.5904,0.6132,0.6485,0.6310,0.5067,0.5528,M50,HC,MA,Albury
109011174,Albury - South,NSW,Inner regional,2,2024,Murray,Rest of NSW,0.7459,0.6178,0.7435,0.5183,0.7652,0.6296,0.6161,0.6485,0.5953,0.6447,0.6374,H75,HC,MA,Albury
109011175,Albury Surrounds,NSW,Inner regional,2,2024,Murray,Rest of NSW,0.5709,0.6668,0.6844,0.7980,0.6030,0.6020,0.6042,0.1440,0.6748,0.6203,0.6350,M50,MC,HA,Albury; Greater Hume; Lockhart
305031120,Alderley,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.6479,0.7052,0.7515,0.6462,0.7297,0.3405,0.4696,0.6180,0.7237,0.6194,0.7645,H75,MC,HA,Brisbane
401021004,Aldgate - Stirling,SA,Metropolitan,1,2024,Adelaide - Central and Hills,Greater Adelaide,0.9154,0.7810,0.9653,0.8730,0.8871,0.3929,0.5823,0.7654,0.7094,0.7927,0.9213,H75,HC,HA,Adelaide Hills; Mount Barker
403041072,Aldinga,SA,Metropolitan,1,2024,Adelaide - South,Greater Adelaide,0.6994,0.5577,0.6742,0.5137,0.7019,0.6053,0.5096,0.6754,0.6978,0.3605,0.6065,M50,HC,MA,Onkaparinga
505031098,Alexander Heights - Koondoola,WA,Metropolitan,1,2024,Perth - North West,Greater Perth,0.5287,0.3781,0.4576,0.3590,0.7119,0.4512,0.2194,0.7530,0.5090,0.2840,0.5680,L25,MC,LA,Wanneroo
204011054,Alexandra,VIC,Inner regional,2,2024,Hume,Rest of Vic.,0.4968,0.5578,0.5709,0.6877,0.6625,0.2573,0.5676,0.1637,0.5669,0.5671,0.8062,M50,MC,MA,Unincorporated Vic; Mansfield; Murrindindi
301011001,Alexandra Hills,QLD,Metropolitan,1,2024,Brisbane - East,Greater Brisbane,0.6749,0.4748,0.6016,0.6254,0.7856,0.6432,0.3667,0.5997,0.4917,0.5104,0.6334,M50,HC,MA,Redland
201011001,Alfredton,VIC,Inner regional,2,2024,Ballarat,Rest of Vic.,0.7283,0.6994,0.7917,0.5472,0.6540,0.6827,0.6028,0.7024,0.7333,0.5922,0.5958,H75,HC,HA,Ballarat
303051072,Algester,QLD,Metropolitan,1,2024,Brisbane - South,Greater Brisbane,0.4870,0.4939,0.5207,0.4070,0.6892,0.2337,0.4169,0.6180,0.5978,0.3891,0.5487,L25,MC,MA,Brisbane
505031255,Alkimos - Eglinton,WA,Metropolitan,1,2024,Perth - North West,Greater Perth,0.3720,0.4316,0.4259,0.4684,0.5375,0.1775,0.2178,0.7530,0.4959,0.4158,0.3972,L25,LC,LA,Wanneroo
702031057,Alligator,NT,Remote,4,2024,Northern Territory - Outback,Rest of NT,0.2448,0.2918,0.2765,0.5954,0.6410,0.2227,0.1719,0.0712,0.2731,0.4408,0.3577,L25,LC,LA,Belyuen; Wagait; Coomalie; Unincorporated NT; West Arnhem
206021110,Alphington - Fairfield,VIC,Metropolitan,1,2024,Melbourne - Inner,Greater Melbourne,0.6731,0.6465,0.7231,0.5665,0.7802,0.1550,0.5615,0.7670,0.6770,0.5760,0.8286,H75,HC,HA,Darebin
213021341,Altona,VIC,Metropolitan,1,2024,Melbourne - West,Greater Melbourne,0.6457,0.5785,0.6598,0.5607,0.8845,0.1613,0.4862,0.7211,0.6499,0.4811,0.7366,M50,MC,MA,Hobsons Bay
213021342,Altona Meadows,VIC,Metropolitan,1,2024,Melbourne - West,Greater Melbourne,0.6899,0.5113,0.6359,0.4528,0.7850,0.4092,0.4793,0.7211,0.6575,0.3298,0.6677,M50,HC,MA,Hobsons Bay
213021343,Altona North,VIC,Metropolitan,1,2024,Melbourne - West,Greater Melbourne,0.6347,0.5516,0.6348,0.3972,0.8450,0.3325,0.4793,0.7211,0.7446,0.2686,0.6028,M50,MC,MA,Hobsons Bay
801041034,Amaroo,ACT,Metropolitan,1,2024,Australian Capital Territory,Australian Capital Territory,0.5684,0.7296,0.7280,0.6114,0.4747,0.7360,0.2370,0.5987,0.6963,0.7116,0.7569,H75,MC,HA,Unincorporated ACT
312021342,Andergrove - Beaconsfield,QLD,Inner regional,2,2024,Mackay,Rest of Qld,0.6124,0.5106,0.5939,0.5151,0.6937,0.6908,0.4305,0.5966,0.5751,0.4586,0.4977,M50,MC,MA,Mackay
702041062,Anindilyakwa,NT,Very remote,5,2024,Northern Territory - Outback,Rest of NT,0.0908,0.2746,0.2123,0.4533,0.2060,0.2333,0.1007,0.0383,0.3187,0.3435,0.1913,L25,LC,LA,East Arnhem; Unincorporated NT
106031119,Anna Bay,NSW,Inner regional,2,2024,Hunter Valley exc Newcastle,Rest of NSW,0.7081,0.5926,0.7040,0.6467,0.7637,0.6906,0.5563,0.6031,0.5675,0.6361,0.5295,M50,HC,MA,Port Stephens
120021674,Annandale (NSW),NSW,Metropolitan,1,2024,Sydney - Inner West,Greater Sydney,0.7862,0.7882,0.8890,0.6319,0.6947,0.6273,0.4708,0.7266,0.7378,0.7618,0.8087,H75,HC,HA,Inner West; Sydney
318021468,Annandale (Qld),QLD,Outer regional,3,2024,Townsville,Rest of Qld,0.6282,0.5725,0.6463,0.6635,0.6781,0.8576,0.4709,0.5966,0.5140,0.6744,0.3773,M50,MC,MA,Townsville
303021052,Annerley,QLD,Metropolitan,1,2024,Brisbane - South,Greater Brisbane,0.5317,0.5662,0.5934,0.5013,0.5818,0.2703,0.4484,0.6180,0.6783,0.4101,0.7303,M50,MC,MA,Brisbane
701021011,Anula,NT,Outer regional,3,2024,Darwin,Greater Darwin,0.4286,0.5170,0.5109,0.4873,0.7437,0.0968,0.5328,0.5772,0.5152,0.5614,0.4420,L25,LC,MA,Darwin
507041175,Applecross - Ardross,WA,Metropolitan,1,2024,Perth - South West,Greater Perth,0.6486,0.5806,0.6629,0.6042,0.7942,0.5108,0.2753,0.7560,0.5265,0.6724,0.5310,M50,MC,MA,Melville
406021138,APY Lands,SA,Very remote,5,2024,South Australia - Outback,Rest of SA,0.0447,0.0983,0.0725,0.2408,0.0487,0.1716,0.1479,0.0359,0.1027,0.2573,0.2510,L25,LC,LA,Unincorporated SA; Anangu Pitjantjatjara Yankunytjatjara
801011001,Aranda,ACT,Metropolitan,1,2024,Australian Capital Territory,Australian Capital Territory,0.4406,0.7843,0.7071,0.6534,0.6835,0.0551,0.2699,0.5987,0.7185,0.7846,0.8071,M50,LC,HA,Unincorporated ACT
215011386,Ararat,VIC,Inner regional,2,2024,North West,Rest of Vic.,0.5115,0.5736,0.5890,0.4868,0.6448,0.1311,0.5732,0.6168,0.5998,0.5490,0.7571,M50,MC,MA,Ararat
215011387,Ararat Surrounds,VIC,Inner regional,2,2024,North West,Rest of Vic.,0.5440,0.6285,0.6438,0.9253,0.5367,0.1451,0.5648,0.6168,0.6478,0.5856,0.6605,M50,MC,MA,Ararat; Pyrenees
213011328,Ardeer - Albion,VIC,Metropolitan,1,2024,Melbourne - West,Greater Melbourne,0.3962,0.5352,0.5099,0.3139,0.7391,0.0941,0.4977,0.6556,0.7405,0.2406,0.4143,L25,LC,MA,Brimbank
206061135,Armadale,VIC,Metropolitan,1,2024,Melbourne - Inner,Greater Melbourne,0.6589,0.7713,0.8046,0.4963,0.7128,0.1610,0.6026,0.9121,0.7913,0.6411,0.6979,H75,MC,HA,Stonnington
506011110,Armadale - Wungong - Brookdale,WA,Metropolitan,1,2024,Perth - South East,Greater Perth,0.3916,0.2866,0.3305,0.3308,0.6513,0.1375,0.2881,0.7501,0.4154,0.2303,0.4657,L25,LC,LA,Armadale
110011186,Armidale,NSW,Inner regional,2,2024,New England and North West,Rest of NSW,0.5086,0.6767,0.6612,0.4469,0.6304,0.5350,0.6247,0.3022,0.6990,0.6018,0.5776,M50,MC,HA,Armidale
110011187,Armidale Surrounds - North,NSW,Inner regional,2,2024,New England and North West,Rest of NSW,0.4858,0.7195,0.6812,0.7006,0.4008,0.6915,0.6242,0.1645,0.7456,0.6125,0.5047,M50,MC,HA,Armidale; Uralla
110011188,Armidale Surrounds - South,NSW,Inner regional,2,2024,New England and North West,Rest of NSW,0.7366,0.7773,0.8521,0.6997,0.6721,0.5620,0.6084,0.6101,0.7354,0.7440,0.7464,H75,HC,HA,Uralla; Tamworth; Armidale
119041668,Arncliffe - Bardwell Valley,NSW,Metropolitan,1,2024,Sydney - Inner South West,Greater Sydney,0.5457,0.4350,0.5064,0.4104,0.6997,0.4648,0.3937,0.6846,0.5796,0.2944,0.3898,L25,MC,LA,Bayside (NSW)
316021417,Aroona - Currimundi,QLD,Metropolitan,1,2024,Sunshine Coast,Rest of Qld,0.7244,0.6176,0.7311,0.5837,0.7806,0.7305,0.4407,0.5994,0.5815,0.6650,0.7056,H75,HC,MA,Sunshine Coast
121011682,Artarmon,NSW,Metropolitan,1,2024,Sydney - North Sydney and Hornsby,Greater Sydney,0.6226,0.6573,0.7040,0.4748,0.5571,0.4456,0.4816,0.7176,0.6777,0.5967,0.6684,M50,MC,HA,Willoughby
309031235,Arundel,QLD,Metropolitan,1,2024,Gold Coast,Rest of Qld,0.6564,0.6246,0.6985,0.4512,0.7926,0.8145,0.4004,0.6066,0.6864,0.5169,0.5492,M50,MC,MA,Gold Coast
305031121,Ascot,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.6040,0.8011,0.7970,0.5891,0.7533,0.3012,0.4639,0.6180,0.8422,0.6150,0.6547,H75,MC,HA,Brisbane
206031113,Ascot Vale,VIC,Metropolitan,1,2024,Melbourne - Inner,Greater Melbourne,0.6365,0.6025,0.6721,0.5337,0.7316,0.1823,0.5674,0.7582,0.7048,0.4417,0.7438,M50,MC,MA,Moonee Valley
207011146,Ashburton (Vic.),VIC,Metropolitan,1,2024,Melbourne - Inner East,Greater Melbourne,0.7076,0.7465,0.8136,0.5916,0.8211,0.1231,0.5630,0.8244,0.7724,0.6227,0.8255,H75,HC,HA,Boroondara
510031271,Ashburton (WA),WA,Very remote,5,2024,,Rest of WA,0.2745,0.3094,0.3001,0.7856,0.3517,0.2400,0.2878,0.1760,0.3198,0.4144,0.3607,L25,LC,LA,Ashburton
127011504,Ashcroft - Busby - Miller,NSW,Metropolitan,1,2024,Sydney - South West,Greater Sydney,0.2359,0.2627,0.2525,0.1422,0.4899,0.1393,0.4245,0.6363,0.5027,0.0412,0.2142,L25,LC,LA,Liverpool
319011492,Ashfield - Kepnock,QLD,Inner regional,2,2024,Wide Bay,Rest of Qld,0.4871,0.5094,0.5318,0.3787,0.5285,0.4618,0.4397,0.5580,0.5481,0.4971,0.5415,M50,MC,MA,Bundaberg
120031676,Ashfield - North,NSW,Metropolitan,1,2024,Sydney - Inner West,Greater Sydney,0.6220,0.5419,0.6212,0.3778,0.6325,0.4498,0.4680,0.7266,0.6321,0.4341,0.6776,M50,MC,MA,Inner West
120031677,Ashfield - South,NSW,Metropolitan,1,2024,Sydney - Inner West,Greater Sydney,0.6063,0.4748,0.5652,0.3222,0.6514,0.4633,0.4715,0.7266,0.5568,0.4130,0.6621,M50,MC,MA,Inner West
305041132,Ashgrove,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.6711,0.8620,0.8760,0.6766,0.7879,0.3384,0.4657,0.6180,0.7933,0.8174,0.7690,H75,HC,HA,Brisbane
309091263,Ashmore,QLD,Metropolitan,1,2024,Gold Coast,Rest of Qld,0.6638,0.6042,0.6879,0.4941,0.8118,0.5980,0.4176,0.6066,0.6620,0.5141,0.6140,M50,HC,MA,Gold Coast
212051319,Ashwood - Chadstone,VIC,Metropolitan,1,2024,Melbourne - South East,Greater Melbourne,0.5523,0.5897,0.6202,0.4329,0.7237,0.1232,0.5501,0.7443,0.7751,0.2964,0.6685,M50,MC,MA,Monash
208031183,Aspendale Gardens - Waterways,VIC,Metropolitan,1,2024,Melbourne - Inner South,Greater Melbourne,0.7592,0.6658,0.7855,0.6903,0.8453,0.8532,0.4225,0.5593,0.6980,0.5814,0.6755,H75,HC,HA,Kingston (Vic.)
302021027,Aspley,QLD,Metropolitan,1,2024,Brisbane - North,Greater Brisbane,0.6997,0.6214,0.7199,0.5591,0.8460,0.4388,0.4545,0.6180,0.6342,0.5925,0.7612,H75,HC,MA,Brisbane
121021403,Asquith - Mount Colah,NSW,Metropolitan,1,2024,Sydney - North Sydney and Hornsby,Greater Sydney,0.7423,0.6766,0.7834,0.6138,0.7646,0.4740,0.4554,0.7151,0.6342,0.7027,0.6973,H75,HC,HA,Hornsby
401041014,Athelstone,SA,Metropolitan,1,2024,Adelaide - Central and Hills,Greater Adelaide,0.7370,0.6221,0.7414,0.6850,0.8681,0.2855,0.5814,0.6820,0.6302,0.5999,0.7413,H75,HC,MA,Campbelltown (SA)
306051166,Atherton,QLD,Outer regional,3,2024,Cairns,Rest of Qld,0.5238,0.5521,0.5795,0.5239,0.6730,0.5470,0.4621,0.5096,0.5686,0.5530,0.4137,M50,MC,MA,Tablelands
125011582,Auburn - Central,NSW,Metropolitan,1,2024,Sydney - Parramatta,Greater Sydney,0.3893,0.4647,0.4567,0.2041,0.5133,0.5028,0.5487,0.6464,0.6661,0.2165,0.2479,L25,LC,LA,Cumberland
125011583,Auburn - North,NSW,Metropolitan,1,2024,Sydney - Parramatta,Greater Sydney,0.3612,0.5459,0.5030,0.1855,0.5590,0.3354,0.5467,0.6464,0.7521,0.2435,0.2562,L25,LC,MA,Cumberland
125011584,Auburn - South,NSW,Metropolitan,1,2024,Sydney - Parramatta,Greater Sydney,0.5125,0.5577,0.5781,0.2857,0.7352,0.5659,0.5467,0.6464,0.7891,0.2033,0.3161,M50,MC,MA,Cumberland
305041133,Auchenflower,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.5546,0.7378,0.7270,0.6123,0.6154,0.2228,0.4689,0.6180,0.7202,0.6900,0.7771,H75,MC,HA,Brisbane
501011001,Augusta,WA,Inner regional,2,2024,Bunbury,Rest of WA,0.4656,0.6023,0.5883,0.7736,0.6799,0.5659,0.2524,0.2009,0.5947,0.6146,0.5773,M50,LC,MA,Augusta Margaret River; Nannup
310041565,Augustine Heights - Brookwater,QLD,Metropolitan,1,2024,Ipswich,Greater Brisbane,0.4871,0.3464,0.4153,0.6027,0.6431,0.7964,0.4421,0.6058,0.4135,0.3595,0.0934,L25,MC,LA,Ipswich
315011395,Aurukun,QLD,Very remote,5,2024,Queensland - Outback,Rest of Qld,0.0369,0.0000,0.0000,0.1892,0.0544,0.3148,0.2325,0.0091,0.1021,0.0419,0.0623,L25,LC,LA,Aurukun
601031013,Austins Ferry - Granton,TAS,Inner regional,2,2024,Hobart,Greater Hobart,0.6824,0.5731,0.6758,0.6050,0.7942,0.6408,0.7288,0.4001,0.5725,0.5895,0.5950,M50,HC,MA,Derwent Valley; Glenorchy
127011505,Austral - Greendale,NSW,Metropolitan,1,2024,Sydney - South West,Greater Sydney,0.4011,0.4622,0.4599,0.5167,0.6909,0.2915,0.4190,0.6363,0.6190,0.2888,0.1394,L25,LC,LA,Liverpool
501021005,Australind - Leschenault,WA,Inner regional,2,2024,Bunbury,Rest of WA,0.6058,0.5517,0.6199,0.6066,0.6878,0.6344,0.2507,0.6782,0.4983,0.6557,0.5768,M50,MC,MA,Harvey; Dardanup
122021420,Avalon - Palm Beach,NSW,Metropolitan,1,2024,Sydney - Northern Beaches,Greater Sydney,0.7728,0.8036,0.8920,0.7817,0.7975,0.6710,0.3862,0.7198,0.7516,0.7700,0.6084,H75,HC,HA,Northern Beaches
504031298,Aveley,WA,Metropolitan,1,2024,Perth - North East,Greater Perth,0.5268,0.4542,0.5110,0.4997,0.6228,0.7127,0.2251,0.7227,0.4980,0.4591,0.4015,L25,MC,LA,Swan
201031013,Avoca,VIC,Inner regional,2,2024,Ballarat,Rest of Vic.,0.5406,0.5561,0.5904,0.7107,0.5810,0.1572,0.4794,0.6168,0.6178,0.4856,0.8061,M50,MC,MA,Ararat; Hepburn; Pyrenees; Ballarat
102011028,Avoca Beach - Copacabana,NSW,Metropolitan,1,2024,Central Coast,Greater Sydney,0.7355,0.7161,0.8077,0.7721,0.7543,0.6625,0.5961,0.6443,0.6765,0.7158,0.4850,H75,HC,HA,Central Coast (NSW)
210011533,Avondale Heights,VIC,Metropolitan,1,2024,Melbourne - North West,Greater Melbourne,0.5525,0.5749,0.6097,0.4189,0.7778,0.1479,0.4459,0.7582,0.6053,0.5432,0.6492,M50,MC,MA,Moonee Valley
318011460,Ayr,QLD,Outer regional,3,2024,Townsville,Rest of Qld,0.5241,0.4496,0.5065,0.5177,0.6565,0.6013,0.4182,0.5258,0.4520,0.5166,0.4192,L25,MC,LA,Burdekin
306031158,Babinda,QLD,Outer regional,3,2024,Cairns,Rest of Qld,0.4032,0.6247,0.5768,0.7506,0.6529,0.4146,0.4469,0.1253,0.6596,0.5594,0.3352,M50,LC,MA,Cassowary Coast; Cairns
213041353,Bacchus Marsh,VIC,Metropolitan,1,2024,Melbourne - West,Greater Melbourne,0.7351,0.5983,0.7234,0.6003,0.7131,0.4902,0.4747,0.7312,0.6715,0.4870,0.6804,H75,HC,MA,Moorabool
201021009,Bacchus Marsh Surrounds,VIC,Inner regional,2,2024,Ballarat,Rest of Vic.,0.8758,0.6314,0.8325,0.7683,0.7804,0.6365,0.5698,0.7312,0.6538,0.5820,0.7495,H75,HC,MA,Moorabool
205021081,Bairnsdale,VIC,Outer regional,3,2024,Latrobe - Gippsland,Rest of Vic.,0.5471,0.5542,0.5923,0.4493,0.6827,0.2815,0.5980,0.5890,0.5448,0.5928,0.6023,M50,MC,MA,East Gippsland
701041036,Bakewell,NT,Outer regional,3,2024,Darwin,Greater Darwin,0.3540,0.3179,0.3372,0.4215,0.5180,0.1516,0.4388,0.5792,0.3344,0.4117,0.3682,L25,LC,LA,Palmerston
505021084,Balcatta - Hamersley,WA,Metropolitan,1,2024,Perth - North West,Greater Perth,0.5105,0.4167,0.4765,0.5021,0.8802,0.1269,0.2275,0.7444,0.4897,0.3941,0.6594,L25,MC,LA,Stirling
302011022,Bald Hills,QLD,Metropolitan,1,2024,Brisbane - North,Greater Brisbane,0.7010,0.5368,0.6602,0.5694,0.7878,0.6051,0.4435,0.6180,0.5767,0.5096,0.6471,M50,HC,MA,Brisbane
507051312,Baldivis - North,WA,Metropolitan,1,2024,Perth - South West,Greater Perth,0.5322,0.3940,0.4706,0.5055,0.6494,0.6277,0.2633,0.7253,0.4347,0.4276,0.3761,L25,MC,LA,Rockingham
507051313,Baldivis - South,WA,Metropolitan,1,2024,Perth - South West,Greater Perth,0.5596,0.4542,0.5270,0.5213,0.6372,0.7049,0.2631,0.7253,0.4423,0.5397,0.4215,M50,MC,LA,Rockingham
505021085,Balga - Mirrabooka,WA,Metropolitan,1,2024,Perth - North West,Greater Perth,0.3806,0.3711,0.3862,0.2436,0.5613,0.2591,0.2271,0.7444,0.5829,0.1517,0.4921,L25,LC,LA,Stirling
122011418,Balgowlah - Clontarf - Seaforth,NSW,Metropolitan,1,2024,Sydney - Northern Beaches,Greater Sydney,0.7165,0.8095,0.8636,0.6679,0.6939,0.6164,0.3797,0.7198,0.7297,0.8165,0.6619,H75,HC,HA,Northern Beaches
107041144,Balgownie - Fairy Meadow,NSW,Metropolitan,1,2024,Illawarra,Rest of NSW,0.7295,0.5869,0.7120,0.5287,0.7486,0.5691,0.6094,0.6798,0.6276,0.5332,0.5795,H75,HC,MA,Wollongong
504031056,Ballajura,WA,Metropolitan,1,2024,Perth - North East,Greater Perth,0.6374,0.4444,0.5597,0.4519,0.8201,0.7913,0.2262,0.7227,0.5150,0.4135,0.5449,M50,MC,LA,Swan
201011002,Ballarat,VIC,Inner regional,2,2024,Ballarat,Rest of Vic.,0.6614,0.6804,0.7410,0.5324,0.7379,0.2402,0.6144,0.7024,0.6652,0.6624,0.8099,H75,HC,HA,Ballarat
201011481,Ballarat East - Warrenheip,VIC,Inner regional,2,2024,Ballarat,Rest of Vic.,0.6228,0.6848,0.7237,0.4035,0.6976,0.2969,0.6053,0.7024,0.6968,0.6215,0.7326,H75,MC,HA,Ballarat; Moorabool
201011482,Ballarat North - Invermay,VIC,Inner regional,2,2024,Ballarat,Rest of Vic.,0.6892,0.7030,0.7723,0.6697,0.7191,0.2721,0.6053,0.7024,0.7172,0.6254,0.7606,H75,HC,HA,Moorabool; Ballarat
112011236,Ballina,NSW,Inner regional,2,2024,Richmond - Tweed,Rest of NSW,0.6352,0.5628,0.6430,0.4043,0.6693,0.5253,0.6169,0.6136,0.5995,0.5275,0.6534,M50,MC,MA,Ballina
112011237,Ballina Surrounds,NSW,Inner regional,2,2024,Richmond - Tweed,Rest of NSW,0.7107,0.6700,0.7607,0.6724,0.7233,0.5280,0.6053,0.6136,0.6840,0.6121,0.6186,H75,HC,HA,Ballina
120021387,Balmain,NSW,Metropolitan,1,2024,Sydney - Inner West,Greater Sydney,0.7487,0.8483,0.9098,0.6628,0.6526,0.5629,0.4744,0.7266,0.7849,0.8041,0.7598,H75,HC,HA,Inner West
305021113,Balmoral,QLD,Metropolitan,1,2024,Brisbane Inner City,Greater Brisbane,0.5792,0.7710,0.7629,0.6480,0.7811,0.2162,0.4518,0.6180,0.7616,0.6893,0.6608,H75,MC,HA,Brisbane
307011171,Balonne,QLD,Remote,4,2024,Darling Downs - Maranoa,Rest of Qld,0.3994,0.3963,0.4122,0.6548,0.4607,0.6117,0.3890,0.0850,0.4774,0.3701,0.4699,L25,LC,LA,Balonne
207011147,Balwyn,VIC,Metropolitan,1,2024,Melbourne - Inner East,Greater Melbourne,0.6049,0.7162,0.7369,0.4138,0.7286,0.1748,0.5646,0.8244,0.8120,0.4950,0.6850,H75,MC,HA,Boroondara
207011148,Balwyn North,VIC,Metropolitan,1,2024,Melbourne - Inner East,Greater Melbourne,0.6363,0.7200,0.7559,0.5109,0.7603,0.1556,0.5617,0.8244,0.7712,0.5714,0.6600,H75,MC,HA,Boroondara
