short_name,roads_data_year,road_km_rural,road_km_urban,road_km_total,waste_data_year,waste_properties_serviced,waste_tonnes_domestic,waste_collection_cost_k,isolated_power_network,isolated_power_confidence
Mareeba,2015_16,2091.0,217.0,2308.0,2015_16,7278.0,5221.0,1500.0,False,assumed grid-connected
McKinlay,2015_16,1605.0,28.0,1633.0,2015_16,259.0,1178.0,74.0,False,assumed grid-connected
Moreton Bay,2015_16,1341.0,2295.0,3636.0,2015_16,151110.0,141274.0,10982.0,False,assumed grid-connected
Mornington,2015_16,144.0,14.0,158.0,2015_16,264.0,720.0,,True,named by Ergon
Mount Isa,2015_16,1872.0,161.0,2033.0,2015_16,6942.0,7386.0,3533.0,False,assumed grid-connected
Murweh,2015_16,2701.0,81.0,2782.0,2015_16,1807.0,2110.0,431.0,False,assumed grid-connected
Napranum,2015_16,159.0,14.0,173.0,2015_16,257.0,,153.0,True,inferred from region named by Ergon — VERIFY
Noosa,2015_16,550.0,320.0,870.0,2015_16,27105.0,27600.0,4884.0,False,assumed grid-connected
North Burnett,2015_16,4034.0,128.0,4162.0,2015_16,3037.0,3597.0,720.0,False,assumed grid-connected
Northern Peninsula Area,2015_16,332.0,31.0,363.0,2015_16,,,,True,inferred from region named by Ergon — VERIFY
Palm Island,2015_16,9.0,33.0,42.0,2015_16,,,,True,named by Ergon
Paroo,2015_16,2207.0,52.0,2259.0,2015_16,552.0,2547.0,248.0,False,assumed grid-connected
Pormpuraaw,2015_16,550.0,16.0,566.0,2015_16,163.0,28.0,227.0,True,inferred from region named by Ergon — VERIFY
Quilpie,2015_16,2038.0,44.0,2082.0,2015_16,328.0,375.0,260.0,False,assumed grid-connected
Redland,2015_16,324.0,778.0,1102.0,2015_16,57080.0,57334.0,7248.0,False,assumed grid-connected
Richmond,2015_16,1281.0,15.0,1296.0,2015_16,308.0,365.0,108.0,False,assumed grid-connected
Rockhampton,2015_16,1331.0,667.0,1998.0,2015_16,31221.0,24044.0,4833.0,False,assumed grid-connected
Scenic Rim,2015_16,1560.0,221.0,1781.0,2015_16,14158.0,16330.0,2734.0,False,assumed grid-connected
Somerset,2015_16,1724.0,158.0,1882.0,2015_16,8984.0,6793.0,1068.0,False,assumed grid-connected
South Burnett,2015_16,3039.0,238.0,3277.0,2015_16,11193.0,8644.0,1183.0,False,assumed grid-connected
Southern Downs,2015_16,2804.0,258.0,3062.0,2015_16,10912.0,9981.0,1953.0,False,assumed grid-connected
Sunshine Coast,2015_16,1557.0,1414.0,2971.0,2015_16,108613.0,71753.0,10606.0,False,assumed grid-connected
Tablelands,2015_16,1498.0,347.0,1845.0,2015_16,8763.0,11056.0,2133.0,False,assumed grid-connected
Toowoomba,2015_16,5533.0,1078.0,6611.0,2015_16,57939.0,36602.0,11124.0,False,assumed grid-connected
Torres,2015_16,191.0,108.0,299.0,2015_16,646.0,2000.0,1221.0,True,inferred from region named by Ergon — VERIFY
Torres Strait Island,2015_16,301.0,68.0,369.0,2015_16,1160.0,1800.0,727.0,True,named by Ergon
Townsville,2015_16,582.0,1154.0,1736.0,2015_16,76965.0,46736.0,16300.0,False,assumed grid-connected
Weipa,,,,,,,,,True,inferred from region named by Ergon — VERIFY
Western Downs,2015_16,7196.0,330.0,7526.0,2015_16,10463.0,6670.0,1164.0,False,assumed grid-connected
Whitsunday,2015_16,1556.0,286.0,1842.0,2015_16,12849.0,31250.0,2192.0,False,assumed grid-connected
Winton,2015_16,2445.0,21.0,2466.0,2015_16,584.0,,119.0,False,assumed grid-connected
Woorabinda,2015_16,47.0,10.0,57.0,2015_16,,,,False,assumed grid-connected
Wujal Wujal,2015_16,13.0,5.0,18.0,2015_16,88.0,410.0,128.0,False,assumed grid-connected
Yarrabah,2015_16,35.0,21.0,56.0,2015_16,,,,False,assumed grid-connected
