state,lga_id,lga_name,sa2_count,mean_remoteness_score,worst_remoteness_score,coping_capacity,adaptive_capacity,andri,social_character,economic_capital,planning_build_environment,emergency_services,information_access,govt_leadership,community_social_engagement,community_capital
NSW,1122,Brewarrina,3,4.715,5,0.3039,0.427,0.3954,0.5867,0.4516,0.3934,0.6284,0.0758,0.5045,0.3932,0.171
NSW,1123,Broken Hill,1,3.0,3,0.4797,0.3933,0.4454,0.4668,0.6536,0.4145,0.6738,0.5378,0.3777,0.5066,0.2824
NSW,1124,Burwood,4,1.0,1,0.6096,0.5224,0.6038,0.3934,0.6698,0.4949,0.4695,0.6895,0.634,0.3906,0.5563
NSW,1125,Byron,5,2.0,2,0.7487,0.6122,0.7414,0.5922,0.7212,0.6546,0.6049,0.6952,0.7162,0.4425,0.5643
NSW,1126,Cabonne,7,2.13,3,0.6991,0.7191,0.7917,0.8472,0.6884,0.5845,0.626,0.5782,0.6961,0.6899,0.5162
NSW,1127,Camden,11,1.0,1,0.6348,0.4935,0.5961,0.6304,0.6923,0.5735,0.4668,0.7152,0.5879,0.3993,0.399
NSW,1128,Campbelltown (NSW),12,1.0,1,0.573,0.4962,0.5643,0.4667,0.6868,0.6005,0.5689,0.6465,0.6169,0.3616,0.3326
NSW,1129,Canada Bay,7,1.0,1,0.7202,0.6438,0.748,0.5567,0.7315,0.477,0.492,0.7146,0.6819,0.5623,0.6541
NSW,1130,Canterbury-Bankstown,28,1.0,1,0.4942,0.4647,0.5043,0.4143,0.7038,0.5278,0.3918,0.6191,0.6376,0.2619,0.33
NSW,1131,Carrathool,2,3.0,3,0.4144,0.4714,0.4722,0.7189,0.5623,0.3401,0.5958,0.11,0.6266,0.2953,0.4365
NSW,1132,Central Coast (NSW),30,1.0,1,0.7444,0.6366,0.7572,0.7191,0.7644,0.7149,0.5971,0.6281,0.6799,0.5494,0.5209
NSW,1133,Central Darling,1,4.0,4,0.3003,0.4384,0.402,0.6633,0.3326,0.4433,0.613,0.0729,0.4573,0.4862,0.1563
NSW,1134,Cessnock,6,1.0,1,0.6486,0.6161,0.6882,0.7131,0.7084,0.6445,0.5479,0.6258,0.6024,0.6302,0.3943
NSW,1135,Clarence Valley,6,2.0,2,0.5427,0.5422,0.5816,0.6708,0.6492,0.6536,0.6148,0.1207,0.5659,0.5366,0.5272
NSW,1136,Cobar,2,4.009,5,0.4014,0.4513,0.4523,0.6592,0.5056,0.3701,0.6421,0.1016,0.5295,0.4059,0.4229
NSW,1137,Coffs Harbour,8,2.0,2,0.6058,0.6107,0.6633,0.6221,0.6431,0.6289,0.6229,0.4618,0.6483,0.5478,0.4898
NSW,1138,Coolamon,2,2.277,3,0.5796,0.5173,0.5825,0.7202,0.5975,0.6482,0.6316,0.2573,0.664,0.3317,0.5637
NSW,1139,Coonamble,3,3.024,4,0.3189,0.4246,0.3994,0.5422,0.4035,0.3788,0.6346,0.0723,0.5404,0.3338,0.3
NSW,1140,Cootamundra-Gundagai,2,2.0,2,0.5797,0.4657,0.5462,0.6247,0.6121,0.6322,0.6321,0.2882,0.6254,0.2858,0.5728
NSW,1141,Cowra,3,2.0,2,0.6262,0.6399,0.6935,0.7085,0.5187,0.6678,0.6,0.5816,0.6554,0.5964,0.5178
NSW,1142,Cumberland,17,1.0,1,0.5012,0.4801,0.5184,0.3688,0.6449,0.4492,0.5403,0.6476,0.682,0.2214,0.352
NSW,1143,Dubbo,7,2.442,3,0.581,0.6098,0.649,0.7521,0.697,0.5292,0.6573,0.5305,0.6,0.6203,0.313
NSW,1144,Dungog,1,2.0,2,0.8047,0.632,0.7886,0.7955,0.7721,0.6311,0.5503,0.6247,0.6252,0.6277,0.7519
NSW,1145,Edward River,2,2.984,3,0.4484,0.5382,0.535,0.812,0.4967,0.4036,0.4975,0.1206,0.5917,0.4897,0.5792
NSW,1146,Eurobodalla,7,2.131,3,0.5309,0.6406,0.6468,0.7211,0.7654,0.4582,0.5962,0.2209,0.6582,0.5933,0.4362
NSW,1147,Fairfield,13,1.0,1,0.4167,0.4252,0.4441,0.3821,0.6854,0.5314,0.4497,0.5652,0.5939,0.2485,0.1875
NSW,1148,Federation,3,2.251,3,0.4781,0.5706,0.572,0.6654,0.6005,0.4933,0.5239,0.1116,0.6309,0.4933,0.5583
NSW,1149,Forbes,3,3.0,3,0.4415,0.6006,0.5764,0.656,0.5713,0.3663,0.6068,0.2628,0.5986,0.6051,0.4336
NSW,1150,Georges River,14,1.0,1,0.6041,0.4364,0.5377,0.4906,0.7404,0.46,0.3783,0.6708,0.5429,0.3526,0.5502
NSW,1151,Gilgandra,1,3.0,3,0.4092,0.5644,0.5364,0.6882,0.4392,0.4166,0.6659,0.0907,0.586,0.5515,0.4415
NSW,1152,Glen Innes Severn,1,2.0,2,0.4879,0.5814,0.5836,0.5281,0.5209,0.6494,0.5841,0.0953,0.6051,0.5566,0.6126
NSW,1153,Goulburn Mulwaree,4,1.956,2,0.6427,0.6123,0.6832,0.84,0.6153,0.6441,0.5851,0.5484,0.6241,0.5883,0.4446
NSW,1154,Greater Hume,4,2.028,3,0.5646,0.6558,0.6735,0.7931,0.6031,0.5914,0.5988,0.1414,0.6681,0.6083,0.6305
NSW,1155,Griffith,2,3.0,3,0.4182,0.4676,0.4712,0.7208,0.5668,0.3448,0.6018,0.1291,0.6387,0.2683,0.4185
NSW,1156,Gunnedah,3,3.0,3,0.4964,0.5666,0.577,0.7643,0.4774,0.6665,0.6301,0.2075,0.6266,0.4935,0.4311
NSW,1157,Gwydir,4,2.996,3,0.4219,0.5825,0.5548,0.6995,0.4433,0.4308,0.582,0.0936,0.6269,0.5251,0.5221
NSW,1158,Hawkesbury,8,1.804,2,0.6083,0.7473,0.761,0.8482,0.7965,0.4164,0.1784,0.6991,0.7572,0.6488,0.6135
NSW,1159,Hay,1,3.0,3,0.4065,0.4901,0.4821,0.6448,0.5432,0.3224,0.5606,0.0907,0.546,0.4608,0.5342
NSW,1160,Hilltops,3,2.0,2,0.5121,0.6653,0.6549,0.7263,0.5526,0.6533,0.5812,0.1757,0.709,0.5625,0.5005
NSW,1161,Hornsby,13,1.0,1,0.5508,0.7573,0.7424,0.7215,0.8275,0.4298,0.2741,0.3303,0.7018,0.7559,0.7041
NSW,1162,Hunters Hill,2,1.0,1,0.7863,0.7546,0.8651,0.6867,0.7617,0.5489,0.4566,0.7124,0.7347,0.6997,0.7645
NSW,1163,Inner West,16,1.0,1,0.7392,0.6709,0.7783,0.5316,0.6918,0.5438,0.5138,0.7259,0.7151,0.5616,0.7439
NSW,1164,Inverell,3,3.0,3,0.4033,0.5625,0.5325,0.6523,0.4521,0.3995,0.5806,0.1107,0.6134,0.5055,0.4899
NSW,1165,Junee,2,2.0,2,0.6894,0.469,0.6055,0.5927,0.6289,0.6415,0.6324,0.5899,0.6286,0.2877,0.6412
NSW,1166,Kempsey,3,2.0,2,0.5712,0.5339,0.5896,0.6149,0.6255,0.6161,0.5907,0.4841,0.5847,0.4914,0.4443
NSW,1167,Kiama,5,1.146,2,0.7995,0.7487,0.8688,0.7828,0.7629,0.6326,0.5977,0.6763,0.686,0.765,0.6156
NSW,1168,Ku-ring-gai,7,1.0,1,0.6316,0.7781,0.7958,0.5776,0.6194,0.3763,0.459,0.7182,0.7138,0.7794,0.6964
NSW,1169,Kyogle,3,2.0,2,0.5316,0.6337,0.6415,0.6326,0.5994,0.6334,0.6142,0.1064,0.7208,0.4792,0.5864
NSW,1170,Lachlan,3,3.0,3,0.3883,0.5693,0.5311,0.6612,0.4791,0.3926,0.6134,0.0888,0.6066,0.5299,0.4052
NSW,1171,Lake Macquarie,19,1.0,1,0.732,0.5895,0.7156,0.5503,0.7266,0.6189,0.5975,0.6552,0.5674,0.6295,0.6315
NSW,1172,Lane Cove,4,1.0,1,0.723,0.6575,0.7591,0.6211,0.684,0.4561,0.4812,0.7336,0.6864,0.5831,0.7121
NSW,1173,Leeton,3,3.0,3,0.4504,0.4632,0.4829,0.6347,0.5937,0.3801,0.6053,0.2535,0.6314,0.2708,0.4094
NSW,1174,Lismore,4,2.0,2,0.7017,0.6984,0.776,0.7411,0.6797,0.6028,0.6108,0.6303,0.7289,0.5968,0.5262
NSW,1175,Lithgow,4,2.0,2,0.7487,0.5955,0.7294,0.7208,0.7786,0.6326,0.6098,0.5821,0.5645,0.6462,0.6092
NSW,1176,Liverpool,21,1.002,2,0.4976,0.4513,0.4982,0.53,0.7029,0.4671,0.4577,0.6399,0.5553,0.3623,0.2408
NSW,1177,Liverpool Plains,2,2.0,2,0.5904,0.5828,0.6341,0.6115,0.4659,0.6585,0.6343,0.529,0.6094,0.5528,0.5531
NSW,1178,Lockhart,3,2.0,2,0.551,0.5262,0.5742,0.7489,0.6214,0.6354,0.6243,0.1474,0.669,0.342,0.5408
NSW,1179,Maitland,10,1.0,1,0.6827,0.6363,0.7218,0.5874,0.6821,0.6142,0.5635,0.6765,0.6137,0.653,0.5002
NSW,1180,Mid-Coast,13,1.996,2,0.611,0.5801,0.6429,0.6177,0.6312,0.624,0.5935,0.5054,0.5966,0.5666,0.5367
NSW,1181,Mid-Western,4,2.0,3,0.6064,0.5799,0.6403,0.7084,0.5918,0.4926,0.6299,0.5937,0.5856,0.5832,0.4719
NSW,1182,Moree Plains,2,3.0,3,0.3961,0.6001,0.5563,0.7918,0.4439,0.4808,0.5715,0.1061,0.6562,0.515,0.3326
NSW,1183,Mosman,2,1.0,1,0.6944,0.8275,0.8642,0.5788,0.6457,0.4908,0.4558,0.7182,0.7986,0.7406,0.7222
NSW,1184,Murray River,3,2.986,3,0.4442,0.5262,0.5246,0.7831,0.4997,0.4039,0.5078,0.1174,0.5822,0.4796,0.5716
NSW,1185,Murrumbidgee,2,2.575,3,0.4505,0.5027,0.5107,0.6855,0.5715,0.4468,0.5595,0.1072,0.6109,0.3846,0.5068
NSW,1186,Muswellbrook,2,2.0,2,0.6463,0.5841,0.6644,0.7298,0.5627,0.6133,0.5467,0.6191,0.5842,0.5937,0.5482
NSW,1187,Nambucca Valley,4,2.0,2,0.6217,0.5391,0.6192,0.5975,0.6178,0.6043,0.5956,0.5544,0.5686,0.5264,0.5422
NSW,1188,Narrabri,3,3.0,3,0.4011,0.5853,0.5481,0.76,0.4464,0.3592,0.5846,0.1174,0.6377,0.5138,0.4648
NSW,1189,Narrandera,2,3.0,3,0.3863,0.4633,0.4544,0.5689,0.5324,0.4225,0.6065,0.0924,0.6347,0.2655,0.3822
NSW,1190,Narromine,1,3.0,3,0.3796,0.5966,0.5468,0.7049,0.4805,0.2886,0.6687,0.0953,0.6014,0.593,0.402
NSW,1191,Newcastle,15,1.0,1,0.7082,0.6678,0.7587,0.4598,0.7085,0.599,0.6242,0.7063,0.6914,0.5953,0.5871
NSW,1192,North Sydney,6,1.0,1,0.6318,0.8331,0.8345,0.5534,0.6026,0.355,0.4621,0.7376,0.8019,0.746,0.7145
NSW,1193,Northern Beaches,19,1.0,1,0.7509,0.7673,0.8536,0.7127,0.836,0.4881,0.3935,0.7151,0.7253,0.74,0.6891
NSW,1194,Oberon,2,2.0,2,0.6614,0.6536,0.7221,0.683,0.6145,0.6176,0.6234,0.6011,0.6653,0.6087,0.5252
NSW,1195,Orange,3,2.0,2,0.718,0.7021,0.7883,0.7568,0.7093,0.6098,0.6316,0.6396,0.6855,0.6726,0.5089
NSW,1196,Parkes,3,3.0,3,0.3935,0.5917,0.5493,0.6973,0.4423,0.3714,0.6046,0.1198,0.6005,0.5843,0.4384
NSW,1197,Parramatta,20,1.0,1,0.5819,0.5193,0.586,0.4592,0.6511,0.392,0.5392,0.7141,0.6507,0.3542,0.457
NSW,1198,Penrith,15,1.0,1,0.655,0.5876,0.6728,0.6367,0.717,0.5799,0.5838,0.669,0.656,0.4869,0.4084
NSW,1199,Port Macquarie-Hastings,7,2.0,2,0.6002,0.7079,0.7286,0.7505,0.6281,0.3729,0.601,0.5914,0.7189,0.6321,0.5239
NSW,1200,Port Stephens,7,1.17,2,0.7172,0.588,0.7065,0.6816,0.7894,0.63,0.5525,0.6038,0.5771,0.6108,0.5492
NSW,1201,Queanbeyan-Palerang,8,1.604,2,0.5109,0.6723,0.6597,0.8413,0.6666,0.5187,0.5794,0.216,0.7381,0.5272,0.4213
NSW,1202,Randwick,11,1.0,1,0.5732,0.5891,0.6309,0.5461,0.7042,0.2701,0.3641,0.7166,0.6619,0.4822,0.6596
NSW,1203,Richmond Valley,6,2.0,2,0.517,0.6391,0.6385,0.665,0.5948,0.6432,0.6064,0.132,0.7241,0.4848,0.5095
NSW,1204,Ryde,10,1.0,1,0.6361,0.5903,0.665,0.475,0.686,0.4261,0.4557,0.7175,0.7165,0.3958,0.613
NSW,1205,Shellharbour,5,1.0,1,0.6247,0.6284,0.6846,0.6422,0.6649,0.5552,0.5841,0.6423,0.6226,0.6234,0.4029
NSW,1206,Shoalhaven,13,1.99,2,0.668,0.6545,0.7273,0.7082,0.7412,0.6111,0.6034,0.5639,0.6553,0.6253,0.455
NSW,1207,Singleton,3,1.965,2,0.6798,0.6138,0.7036,0.802,0.5838,0.6256,0.5502,0.6625,0.5933,0.6398,0.5204
NSW,1208,Snowy Monaro,7,2.206,3,0.5346,0.673,0.6719,0.8162,0.59,0.5517,0.579,0.1588,0.7132,0.5708,0.582
NSW,1209,Snowy Valleys,4,2.487,3,0.5042,0.3932,0.4571,0.7905,0.5929,0.5202,0.6121,0.1172,0.5174,0.303,0.5103
NSW,1210,Strathfield,7,1.0,1,0.5432,0.549,0.5882,0.4549,0.683,0.3783,0.4536,0.7006,0.6906,0.3523,0.4301
NSW,1211,Sutherland,18,1.0,1,0.7427,0.6652,0.7765,0.7243,0.8479,0.5118,0.3803,0.7053,0.5945,0.739,0.6572
NSW,1212,Sydney,19,1.0,1,0.6197,0.8189,0.8197,0.5324,0.5643,0.4119,0.5954,0.7374,0.8663,0.607,0.5577
NSW,1213,Tamworth,8,2.06,3,0.6775,0.6563,0.7328,0.7346,0.6577,0.5964,0.6187,0.5994,0.6525,0.6335,0.5188
NSW,1214,Temora,2,2.987,3,0.6541,0.4951,0.6048,0.6439,0.5367,0.6799,0.6494,0.5446,0.6501,0.3079,0.6245
NSW,1215,Tenterfield,1,2.0,2,0.4106,0.5467,0.5244,0.5303,0.5214,0.396,0.5862,0.0804,0.5881,0.5124,0.5506
NSW,1216,The Hills,19,1.0,1,0.4984,0.7368,0.7008,0.6955,0.8073,0.4706,0.191,0.3506,0.7379,0.6573,0.5956
NSW,1217,Tweed,8,1.019,2,0.7118,0.673,0.7638,0.6814,0.7465,0.6977,0.6021,0.596,0.7318,0.5407,0.5234
NSW,1235,Unincorporated NSW,3,4.0,4,0.3003,0.4384,0.402,0.6633,0.3326,0.4433,0.613,0.0729,0.4573,0.4862,0.1563
NSW,1218,Upper Hunter,3,2.0,2,0.6647,0.5676,0.6622,0.7361,0.5468,0.6644,0.5467,0.5898,0.6184,0.508,0.6251
NSW,1219,Upper Lachlan,2,2.0,2,0.6529,0.6207,0.6942,0.8533,0.6088,0.6561,0.5841,0.5533,0.6198,0.6126,0.4589
NSW,1220,Uralla,3,2.126,3,0.6894,0.749,0.8084,0.6941,0.639,0.5437,0.6051,0.5383,0.7203,0.7112,0.7085
NSW,1221,Wagga Wagga,5,2.0,2,0.5557,0.5243,0.5752,0.7384,0.6249,0.6331,0.625,0.1685,0.6667,0.3418,0.5379
NSW,1222,Walcha,1,3.0,3,0.6393,0.6969,0.741,0.8356,0.4016,0.6728,0.6327,0.5484,0.7663,0.5328,0.6179
NSW,1223,Walgett,1,4.0,4,0.3183,0.4507,0.4178,0.5572,0.4481,0.3686,0.6331,0.0735,0.5428,0.3845,0.2627
NSW,1224,Warren,5,3.072,4,0.3775,0.4758,0.46,0.633,0.4914,0.3854,0.6395,0.0846,0.5399,0.4401,0.3608
NSW,1225,Warrumbungle,2,2.843,3,0.4315,0.5423,0.5315,0.6195,0.4841,0.4445,0.668,0.1609,0.5832,0.5107,0.4298
NSW,1226,Waverley,4,1.0,1,0.5622,0.7129,0.7139,0.5425,0.6075,0.3566,0.3345,0.7351,0.7261,0.6308,0.6087
NSW,1227,Weddin,2,3.0,3,0.5754,0.6113,0.6471,0.7552,0.4994,0.3906,0.6023,0.5217,0.622,0.591,0.6538
NSW,1228,Wentworth,2,3.0,3,0.4234,0.4723,0.4768,0.6422,0.5141,0.4015,0.5556,0.1064,0.537,0.4379,0.5341
NSW,1229,Willoughby,7,1.0,1,0.6827,0.6803,0.7536,0.5549,0.6338,0.5443,0.4787,0.7193,0.7146,0.5835,0.6458
NSW,1230,Wingecarribee,9,2.0,2,0.7835,0.7526,0.862,0.7715,0.7619,0.6543,0.5948,0.6339,0.7366,0.6924,0.6272
NSW,1231,Wollondilly,7,1.337,2,0.746,0.5992,0.7304,0.757,0.7331,0.6085,0.5446,0.7049,0.5734,0.6397,0.5123
NSW,1232,Wollongong,14,1.0,1,0.6854,0.6261,0.7159,0.64,0.7523,0.6179,0.5904,0.574,0.608,0.6399,0.5176
NSW,1233,Woollahra,5,1.0,1,0.6111,0.7928,0.7949,0.5881,0.6572,0.4011,0.3316,0.7269,0.7444,0.7599,0.6639
NSW,1234,Yass Valley,4,2.0,2,0.5667,0.7562,0.7465,0.8686,0.6499,0.6219,0.5756,0.2015,0.7179,0.73,0.5097
NT,1645,Alice Springs,6,4.0,4,0.2564,0.3992,0.3576,0.5985,0.5849,0.0734,0.5231,0.4492,0.4251,0.4514,0.0779
NT,1646,Barkly,3,4.94,5,0.0443,0.2867,0.2069,0.4181,0.1193,0.0678,0.2004,0.039,0.3184,0.369,0.1366
NT,1647,Belyuen,1,4.0,4,0.2448,0.2918,0.2765,0.5954,0.641,0.2227,0.1719,0.0712,0.2731,0.4408,0.3577
NT,1648,Central Desert,3,4.76,5,0.0466,0.2082,0.1517,0.3103,0.0841,0.1459,0.2587,0.0179,0.2704,0.2695,0.1117
NT,1649,Coomalie,1,4.0,4,0.2448,0.2918,0.2765,0.5954,0.641,0.2227,0.1719,0.0712,0.2731,0.4408,0.3577
NT,1650,Darwin,25,3.0,3,0.3823,0.4409,0.4372,0.5152,0.6153,0.0818,0.5286,0.577,0.4681,0.4735,0.4025
NT,1651,Darwin Waterfront Precinct,1,3.0,3,0.3593,0.4953,0.4661,0.5316,0.4691,0.0994,0.5159,0.5779,0.4856,0.5607,0.4114
NT,1652,East Arnhem,4,4.998,5,0.0726,0.1154,0.093,0.2646,0.2472,0.1384,0.2035,0.0125,0.1189,0.2719,0.2008
NT,1653,Katherine,1,4.0,4,0.1956,0.4306,0.3581,0.5723,0.5578,0.0398,0.4353,0.1107,0.4696,0.4523,0.2219
NT,1654,Litchfield,5,3.0,3,0.4514,0.4604,0.4808,0.7363,0.6814,0.3738,0.4465,0.2062,0.4508,0.54,0.4317
NT,1655,MacDonnell,3,4.841,5,0.1043,0.3264,0.2537,0.4515,0.2043,0.1343,0.235,0.0434,0.3675,0.3817,0.208
NT,1656,Palmerston,11,3.0,3,0.3401,0.3376,0.3476,0.5058,0.4762,0.2103,0.4414,0.5791,0.3731,0.3979,0.2593
NT,1657,Roper Gulf,2,5.0,5,0.0774,0.3091,0.2328,0.4213,0.1987,0.0771,0.2585,0.0274,0.3708,0.3406,0.1784
NT,1658,Tiwi Islands,1,4.0,4,0.0903,0.0417,0.0458,0.3553,0.1999,0.1504,0.1926,0.015,0.0,0.2638,0.2487
NT,1663,Unincorporated NT,6,4.006,5,0.2156,0.2595,0.2435,0.5633,0.576,0.2071,0.1633,0.0634,0.2451,0.4101,0.3267
NT,1659,Victoria Daly,2,4.872,5,0.0617,0.3577,0.2629,0.3512,0.2162,0.1178,0.1854,0.0336,0.4519,0.3226,0.1435
NT,1660,Wagait,1,4.0,4,0.2448,0.2918,0.2765,0.5954,0.641,0.2227,0.1719,0.0712,0.2731,0.4408,0.3577
NT,1661,West Arnhem,4,4.007,5,0.0787,0.1766,0.1408,0.3955,0.2281,0.1263,0.1145,0.042,0.1752,0.3281,0.2413
NT,1662,West Daly,2,4.0,4,0.0977,0.1418,0.1198,0.4054,0.3229,0.1633,0.1188,0.032,0.1498,0.2894,0.209
QLD,1320,Aurukun,1,5.0,5,0.0369,0.0,0.0,0.1892,0.0544,0.3148,0.2325,0.0091,0.1021,0.0419,0.0623
QLD,1321,Balonne,1,4.0,4,0.3994,0.3963,0.4122,0.6548,0.4607,0.6117,0.389,0.085,0.4774,0.3701,0.4699
QLD,1322,Banana,2,3.0,3,0.4099,0.4284,0.4395,0.8475,0.4369,0.5216,0.4128,0.1157,0.4264,0.5099,0.4501
QLD,1323,Barcaldine,1,5.0,5,0.4309,0.4202,0.4428,0.8073,0.426,0.5404,0.4515,0.0842,0.6057,0.2209,0.5195
QLD,1324,Barcoo,1,5.0,5,0.3681,0.4241,0.4189,0.7411,0.4701,0.4698,0.357,0.0882,0.6176,0.2098,0.4284
QLD,1325,Blackall Tambo,1,5.0,5,0.4309,0.4202,0.4428,0.8073,0.426,0.5404,0.4515,0.0842,0.6057,0.2209,0.5195
QLD,1326,Boulia,1,5.0,5,0.3681,0.4241,0.4189,0.7411,0.4701,0.4698,0.357,0.0882,0.6176,0.2098,0.4284
QLD,1327,Brisbane,130,1.0,1,0.6171,0.6652,0.708,0.5723,0.7568,0.5223,0.3881,0.6179,0.6988,0.5745,0.6074
QLD,1328,Bulloo,1,5.0,5,0.3602,0.3927,0.3932,0.6583,0.3959,0.47,0.4428,0.0702,0.5725,0.2157,0.4413
QLD,1329,Bundaberg,12,2.0,2,0.4696,0.4694,0.4964,0.5174,0.6118,0.4689,0.4268,0.3714,0.539,0.4284,0.4786
QLD,1330,Burdekin,3,3.0,3,0.4425,0.4947,0.5011,0.7578,0.5984,0.6516,0.4153,0.0927,0.497,0.5424,0.3821
QLD,1331,Burke,1,5.0,5,0.2123,0.2905,0.2639,0.5313,0.4003,0.3512,0.45,0.0483,0.4513,0.1848,0.0745
QLD,1332,Cairns,20,3.0,3,0.467,0.6171,0.6004,0.6614,0.6933,0.4914,0.4559,0.3686,0.6623,0.5388,0.2951
QLD,1333,Carpentaria,1,5.0,5,0.2123,0.2905,0.2639,0.5313,0.4003,0.3512,0.45,0.0483,0.4513,0.1848,0.0745
QLD,1334,Cassowary Coast,4,3.0,3,0.3875,0.5594,0.5236,0.6248,0.581,0.502,0.4456,0.0899,0.6175,0.493,0.3613
QLD,1335,Central Highlands (Qld),3,3.694,4,0.4274,0.468,0.4758,0.7305,0.4723,0.6114,0.4263,0.125,0.5753,0.3702,0.469
QLD,1336,Charters Towers,2,3.999,4,0.4168,0.5001,0.4937,0.8939,0.5552,0.474,0.4055,0.0869,0.5479,0.4785,0.3891
QLD,1337,Cherbourg,1,2.0,2,0.2963,0.4153,0.384,0.4521,0.5127,0.4226,0.4105,0.0797,0.496,0.3818,0.2906
QLD,1338,Cloncurry,1,4.0,4,0.312,0.3274,0.3273,0.7066,0.466,0.4084,0.4478,0.1097,0.452,0.263,0.2171
QLD,1339,Cook,2,4.0,5,0.2935,0.3123,0.3093,0.5131,0.4869,0.453,0.4082,0.0569,0.473,0.1986,0.2582
QLD,1340,Croydon,1,5.0,5,0.3357,0.3323,0.3402,0.9877,0.4113,0.2915,0.3043,0.0812,0.4845,0.224,0.4067
QLD,1341,Diamantina,1,5.0,5,0.3681,0.4241,0.4189,0.7411,0.4701,0.4698,0.357,0.0882,0.6176,0.2098,0.4284
QLD,1342,Doomadgee,1,5.0,5,0.2123,0.2905,0.2639,0.5313,0.4003,0.3512,0.45,0.0483,0.4513,0.1848,0.0745
QLD,1343,Douglas,2,3.0,3,0.408,0.5659,0.5371,0.6113,0.6633,0.6211,0.3946,0.1477,0.6258,0.4929,0.2958
QLD,1344,Etheridge,1,5.0,5,0.3357,0.3323,0.3402,0.9877,0.4113,0.2915,0.3043,0.0812,0.4845,0.224,0.4067
QLD,1345,Flinders (Qld),1,5.0,5,0.4024,0.3565,0.385,0.8157,0.4996,0.517,0.4485,0.0998,0.4973,0.2562,0.3629
QLD,1346,Fraser Coast,13,2.388,3,0.3881,0.4267,0.4294,0.5134,0.6716,0.3662,0.4346,0.129,0.4777,0.4323,0.4312
QLD,1347,Gladstone,8,2.0,2,0.4544,0.5061,0.5146,0.652,0.6665,0.5582,0.4304,0.1358,0.5203,0.5313,0.435
QLD,1348,Gold Coast,53,1.0,1,0.6044,0.6508,0.6906,0.6191,0.7539,0.5803,0.3963,0.56,0.699,0.5482,0.5069
QLD,1349,Goondiwindi,3,3.0,3,0.3314,0.4599,0.4297,0.6729,0.4147,0.516,0.3868,0.102,0.5132,0.4483,0.3144
QLD,1350,Gympie,7,2.0,2,0.4372,0.475,0.4848,0.6286,0.6084,0.3976,0.4373,0.1948,0.5199,0.4691,0.5486
QLD,1351,Hinchinbrook,2,3.0,3,0.4328,0.5014,0.5016,0.7393,0.549,0.634,0.4128,0.078,0.4992,0.5532,0.4225
QLD,1352,Hope Vale,1,4.0,4,0.2935,0.3123,0.3093,0.5131,0.4869,0.453,0.4082,0.0569,0.473,0.1986,0.2582
