
Robodebt Royal Commission Implementation Update  March 2026    	|	Recommendation  	|	Government Response (summary)  	|	Status
13.2  	|	Feedback processes    Better feedback processes should be put in place so that front-line staff can communicate their feedback in an open and consultative environment. Management should have constructive processes in place to review and respond to staff feedback.  	|	Accept    The Government commits to ensuring agencies have processes in place to gather feedback from front-line staff, noting their first-hand experiences in engaging with the community.  	|	Implemented
13.3  	|	“Face-to-face” support  More “face-to-face” customer service support options should be available for vulnerable recipients needing support.  	|	Accept in principle  Services Australia will continue to adopt a customer-centred approach. Ongoing efforts to transform service delivery by Services Australia will be directed toward better assisting customers to navigate services tailored to their needs, including through identifying opportunities to engage and collaborate with government service delivery partners and support more customers to access government services from a single location.  	|	Implemented
13.4  	|	Increased number of social workers  Increased social worker support (for both recipients and staff), and better referral processes to enable this support, should be implemented.  	|	Accept in principle  The Services Australia Social Work Servicing Strategy (2021-2025) outlines how the agency is transforming the way it delivers social work services.   To maximise access to social work support for customers and staff, Services Australia is also exploring additional delivery methods to support connections with customers and continues to respond to customer needs through their preferred method of contact.  	|	Implemented
15.1  	|	Legislative change better defined in New Policy Proposals  The Budget Process Operational Rules should include a requirement that all New Policy Proposals contain a statement as to whether the proposal requires legislative change in order to be lawfully implemented, as distinct from legislative change to authorise expenditure.  	|	Accept  In providing advice to Cabinet, Ministers, departments and agencies should indicate whether a new policy proposal will require legislative change in order for it to be lawfully implemented, in addition to giving advice on whether legislation is required to authorise expenditure. In circumstances where it has not been possible to determine whether legislative change is required, this should also be clearly stated. Relevant Cabinet procedures will be updated to reflect this.  	|	Implemented
15.2  	|	Include legal advices with New Policy Proposals  The Budget Process Operational Rules should include a requirement that any legal advice (either internal or external) relating to whether the proposal requires legislative change in order to be implemented be included with the New Policy Proposal in any versions of the Portfolio Budget Submission circulated to other agencies or Cabinet ministers.  	|	Accept in principle  The Government agrees that Cabinet should be clearly informed of identifiable legal issues associated with the implementation of new policy proposals. The Government considers that clear, concise and succinct summaries of legal issues are likely to be of greater assistance to entities and Ministers than copies of entire legal advices. Relevant Cabinet procedures will be updated to reflect this.  	|	Implemented
15.3  	|	Australian Government Solicitor statement in the NPP  The Budget Process Operational Rules should include a requirement that where legal advice has been given in relation to whether the proposal requires legislative change in order to be implemented, the New Policy Proposal includes a statement as to whether the Australian Government Solicitor has reviewed and agreed with the advice  	|	Accept  Sponsoring Ministers and entities are responsible for ensuring that they present clear information on what is required to implement a new policy proposal. Where legal advice is provided on a new policy proposal, Cabinet should receive complete and accurate information, particularly regarding whether or not the Australian Government Solicitor has reviewed and agreed with any legal advice on whether legislative change is required. Relevant Cabinet procedures will be updated to reflect this.  	|	Implemented
15.4  	|	Standard, specific language on legal risks in the NPP   The standard language used in the NPP Checklist should be sufficiently specific to make it obvious on the face of the document what advice is being provided, in respect of what legal risks and by whom it is being provided.  	|	Accept  Cabinet should receive clear and accurate advice on new policy proposals, to ensure it fully understands associated legal issues and risks. Relevant Cabinet procedures will be updated to make it clear what legal advice has been obtained, in respect of what risks, and by whom it was provided. The updates will provide clearer information on legislative authority issues relating to spending, and on legal issues relating to other aspects of the proposal.  	|	Implemented
15.5  	|	Documented assumptions for compliance Budget measures  That in developing compliance Budget measures, Services Australia and DSS document the basis for the assumptions and inputs used, including the sources of the data relied on.  	|	Accept  All Ministers, departments and agencies are expected and required to comply with the rules outlined in the Cabinet Handbook and the Budget Process Operational Rules when developing new policy proposals and measures with financial implications.  The Department of Social Services and Services Australia will ensure budget initiatives are progressed in consultation with the Department of Finance, and in compliance with the Budget Process Operational Rules. Data sources will be identified, and assumptions will be required to be documented and provided in a transparent manner.  	|	Implemented
15.6  	|	Documentation on the basis for assumptions provided to Finance   That in seeking agreement from Finance for costings of compliance Budget measures, Services Australia and DSS provide Finance with documentation setting out the basis for the assumptions and inputs used, including related data sources, to allow Finance to properly investigate and test those assumptions and inputs  	|	Accept  All Ministers, departments and agencies are expected and required to comply with the rules outlined within the Cabinet Handbook and the Budget Process Operational Rules when developing new policy proposals and measures with financial implications.   The Department of Social Services and Services Australia will ensure budget initiatives are progressed in consultation with the Department of Finance, and in compliance with the Budget Process Operational Rules. Data sources will be identified, and assumptions and inputs will be provided for compliance measures. These will be required to be documented and provided in a transparent manner.  	|	Implemented
16.1  	|	Legal advice on end-to-end data exchanges  The Commonwealth should seek legal advice on the end-to-end data exchange processes which are currently operating between Services Australia and the ATO to ensure they are lawful.  	|	Accept  The Australian Taxation Office and Services Australia have obtained independent, external legal advice in respect of the Pay As You Go (PAYG) and Single Touch Payroll (STP) data exchange programs, which confirm that both agencies are complying with the required legislative frameworks governing each aspect of the data exchange, specifically, the confidentiality and Tax File Number (TFN) provisions in the Taxation Administration Act 1953, the confidentiality provisions of the Social Security (Administration) Act 1999, and the Privacy Act 1988.  	|	Implemented
16.2  	|	Review and strengthen governance of data-matching programs  The ATO and DHS should take immediate steps to review and strengthen their operational governance practices as applied to jointly conducted data-matching programs. This should include:   reviews to ensure that all steps and operations relating to existing or proposed data-matching programs are properly documented   a review of all existing framework documents for existing or proposed data-matching programs   a review of the operations of the ATO/DHS Consultative Forum and the ATO/DHS Data Management Forum   a review of the existing Head Agreement/s, Memoranda of Understanding and Services Schedule   a joint review of any existing or proposed data-matching program protocols to ensure they are legally compliant in respect of their provision for the data exchanges contemplated for the relevant data-matching program.  	|	Accept  The Australian Taxation Office and Services Australia are reviewing all existing data exchanges operating between the agencies to ensure all legal and ethical requirements are met, and that the governance arrangements and supporting framework documentation, including Memoranda of Understanding and joint forum terms of reference, are in place and accurately reflect the processes and procedures of the exchange.   The Australian Taxation Office and Services Australia will review new and existing data sharing arrangements in line with guidance material issued by the Office of the Australian Information Commissioner and the Office of the National Data Commissioner, and will consult with these oversight bodies where required.  	|	Ongoing
17.1  	|	Reform of legislation and implementation of regulation  The Commonwealth should consider legislative reform to introduce a consistent legal framework in which automation in government services can operate. Where automated decision-making is implemented:   there should be a clear path for those affected by decisions to seek review   departmental websites should contain information advising that automated decision-making is used and explaining in plain language how the process works  business rules and algorithms should be made available, to enable independent expert scrutiny.  	|	Accept  The Government will consider opportunities for legislative reform to introduce a consistent legal framework in which automation in government services can operate ethically, without bias and with appropriate safeguards, which will include consideration of:   review pathways for those affected by decisions, and   transparency about the use of automated decision-making, and how such decision-making processes operate, for persons affected by decisions and to enable independent scrutiny.  	|	Ongoing*
17.2  	|	Establishment of a body to monitor and audit automated decision-making  The Commonwealth should consider establishing a body, or expanding an existing body, with the power to monitor and audit automate decision-making processes with regard to their technical aspects and their impact in respect of fairness, the avoiding of bias, and client usability.  	|	Accept  The Government will ensure there is appropriate oversight of the use of automation in service delivery. This includes oversight of technical aspects to identify potential bias and ensure the use of automated decision-making or artificial intelligence is ethical and in accordance with legislative protections. In implementing this recommendation, the Government will consider establishing a body, or expanding the functions of an existing body, with the power to monitor and audit automated decision-making processes.   The Government will examine existing regulatory frameworks that provide safeguards for artificial intelligence and automated decision-making to ensure a consistent legal, ethical and governance framework in which automation in government services can operate with appropriate safeguards.   The Government commits to ensuring new technologies are integrated in a safe and responsible manner.   Governance of automated decision-making will also be further considered as part of current work to develop appropriate whole-of-government assurance and governance of artificial intelligence.  	|	Ongoing*
18.1  	|	Comprehensive debt recovery policy for Services Australia  Services Australia should develop a comprehensive debt recovery management policy which among other things should incorporate the Guideline for Collectors and Creditors’ issued by the Australian Competition and Consumer Commission (ACCC) and the Australian Securities and Investments Commission (ASIC). Examples of such documents already exist at both federal and state levels. Any such policy should also prescribe how Services Australia undertakes to engage with debtors, including that staff must:   ensure any debt recovery action is always ethical, proportionate, consistent and transparent   treat all recipients fairly and with dignity, taking each person’s circumstances into account before commencing recovery action   subject to any express legal authority to do so, refrain from commencing or continuing recovery action while a debt is being reviewed or disputed, and   in accordance with legal authority, consider and respond appropriately and proportionately to cases of hardship.   Services Australia should ensure that recipients are given ample and appropriate opportunities to challenge, review and seek guidance on any proposed debts before they are referred for debt recovery.  	|	Accept  The Government commits to ensuring income support and other services are available to vulnerable Australians when they need it, without stigma; and that debt recovery practices are undertaken in a manner that is fair, empathetic and respectful, and takes into account individual circumstances.   The Government will continue to implement changes to improve debt recovery policy and practice, within the underpinning legal framework.  	|	Implemented
18.2  	|	Reinstate the limitation of six years on debt recovery  The Commonwealth should repeal s 1234B of the Social Security Act and reinstate the effective limitation period of six years for the bringing of proceedings to recover debts under Part 5.2 of the Act formerly contained in s 1232 and s 1236 of that Act, before repeal of the relevant subsections by the Budget Savings (Omnibus) Act (No 55) 2016 (Cth). There is no reason that current and former social security recipients should be on any different footing from other debtors.  	|	Accept in principle  The Government will improve social security debt arrangements and is committed to ensuring debt raising and recovery is undertaken in a timely, fair and respectful manner.   The Government will carefully consider options for legislative reform, including appropriate statutory limitation periods for the raising and recovery of social security debts to comprehensively address the issues identified by the Royal Commission.   The Government will continue to implement administrative changes to make the system fairer for those who incur debts, and to reduce the likelihood of recipients incurring a debt in the first place.  	|	Ongoing*
19.1  	|	Selection of chief counsel  The selection panel for the appointment of chief counsel of Services Australia or DSS (chief counsel being the head of the entity’s legal practice) should include as a member of the panel, the Australian Government Solicitor.  	|	Accept  The Government recognises the specialist input the Australian Government Solicitor or their representative could provide in the selection of the chief legal officers of Services Australia and the Department of Social Services.  	|	Implemented
19.2  	|	Training for lawyers – Services Australia  Services Australia should provide regular training to its in-house lawyers on the core duties and responsibilities set out in the Legal Practice Standards, including:   an emphasis on the duty to avoid any compromise to their integrity and professional independence and the challenges that may be presented to a government lawyer in fulfilling that obligation.   appropriate statutory and case authority references in advice writing.  	|	Accept  Services Australia legal staff are subject to Legal Practice Directions issued by the Chief Counsel which set out the obligations and requirements of agency legal staff, including a requirement to undertake regular training. In addition, performance agreements for all Services Australia legal staff will require staff to comply with the Legal Practice Directions.  	|	Implemented
19.3  	|	Legal practice standards – Social Services  DSS should develop Legal Practice Standards which set out the core duties and responsibilities of all legal officers working at DSS.  	|	Accept  The Department of Social Services (DSS) has developed a new package of legal practice governance documents, which include updates to the Legal Practice Manual issued by the Chief Counsel that set out the core duties and responsibilities of all legal officers working at DSS. Compliance with these duties and obligations will be included in the performance agreements for all legal staff.  	|	Implemented
19.4  	|	Training for lawyers – Social Services  DSS should provide regular training on the core duties and responsibilities to be set out in the Legal Practice Standards which should include: an emphasis on the duty to avoid any compromise to their integrity and professional independence and the challenges that may be presented to a government lawyer in fulfilling that obligation appropriate statutory and case authority references in advice writing.  	|	Accept  The Department of Social Services (DSS) is establishing a regular training program for in-house lawyers that will include a focus on core studies and responsibilities laid down in DSS Legal Practice Standards. DSS is also actively taking steps to engage providers to deliver integrity and professional independence training for all lawyers in the Department. This training will be in addition to the lawyers’ obligation to complete Continuing Legal Education (CLE) associated with maintaining the required Practising Certificate  	|	Implemented
19.5  	|	Draft advice – Social Services  DSS should issue a further direction providing that, if the administering agency decides that a draft advice need not be provided in final form, that decision and the reasons for it must be documented. One of those steps – finalisation, or a documented decision against finalisation – should have been taken within three months of the receipt of the draft advice.  	|	Accept  The Secretary of the Department of Social Services issued guidance on the practice of requesting, clarifying and finalising legal advice on 14 November 2022.   The Chief Counsel of the Department of Social Services has also issued Legal Services Practice guidance on obtaining external legal advice, including draft advice, clearly articulating that external advice is not to be left in draft form indefinitely, but should be finalised as soon as is practicable.   The Government also considers it is important that the treatment of draft legal advice is consistent across agencies. On 15 May 2023, the Secretary of the Attorney-General’s Department circulated initial guidance to all the heads of legal services functions across the APS on the use of draft legal advice within government, making it clear that legal advice cannot be disregarded because it is in draft form and that it is never acceptable for legal advice not to be finalised on the basis that the advice may be inconvenient or unwelcome. The AttorneyGeneral’s Department is reviewing the guidance in light of the observations made by the Royal Commission.    	|	Implemented
19.6  	|	Draft advice – Services Australia  Services Australia should issue a direction that legal advice is to be left in draft form only to the extent that the administrative step of finalising it has not yet been undertaken by lawyers or there are remaining questions to be answered in relation to the issues under consideration and that, if the administering agency decides that a draft advice need not be provided in final form, that decision and the reasons for it must be documented. One of those steps – finalisation, or a documented decision against finalisation – should have been taken within three months of the receipt of the draft advice.  	|	Accept  The Chief Counsel of Services Australia has issued internal Legal Practice Standards on obtaining external legal advice, including draft advice. Legal Officers are required to have regard to the Chief Counsel’s expectation that draft legal advice will ordinarily be finalised, that legal advice cannot be disregarded on the basis that it is in draft form, that it is never acceptable for draft legal advice not to be finalised because it may be unwelcome or inconvenient, and that draft legal advice should be finalised before it is relied upon to make decisions. Where finalisation of draft advice is not practicable, Legal Officers must place a file note on the relevant file confirming the reason the advice was not finalised.   The Government also considers it is important that the treatment of draft legal advice is consistent across agencies. On 15 May 2023, the Secretary of the Attorney-General’s Department circulated initial guidance to all the heads of legal services functions across the APS on the use of draft legal advice within government, making it clear that legal advice cannot be disregarded because it is in draft form and that it is never acceptable for legal advice not to be finalised on the basis that the advice may be inconvenient or unwelcome. The AttorneyGeneral’s Department is reviewing the guidance in light of the observations made by the Royal Commission.  	|	Implemented
19.7  	|	The Directions  The Legal Services Directions 2017 should be reviewed and simplified.  	|	Accept  The Government will review and redraft aspects of the Legal Services Directions 2017 with a view to ensuring the Directions are fit-for-purpose in supporting agencies to undertake Commonwealth legal work and manage legal risk in an effective, consistent and whole-of-Commonwealth manner.  	|	Implemented
19.8  	|	Office of Legal Services Coordination to assist agencies with significant issues reporting  OLSC should provide more extensive information and feedback to assist agencies with the significant legal issues process.  	|	Accept    The Attorney-General’s Department will review its practices to provide improved guidance and support to better enable agencies to identify significant issues arising in their legal work, and to provide the relevant information at the appropriate time to support the Attorney-General perform the functions of the First Law Officer.   	|	Implemented
19.9  	|	Recording of reporting obligations  OLSC should ensure a documentary record is made of substantive inquiries made with and responses given by agencies concerning their obligations to report significant issues pursuant to para 3.1 of the Directions.  	|	Accept  The Attorney-General’s Department will build on existing work to ensure it has appropriate processes to document and record all inquiries with agencies on whether a legal issue is required to be reported.    	|	Implemented
19.10  	|	The Directions 2  OLSC should issue guidance material on the obligations to consult on and disclose advice in clause 10 of the Legal Services Directions 2017.  	|	Accept  The Attorney-General’s Department will develop new guidance material to support agencies' understanding of and compliance with the obligations in paragraph 10 of the Legal Services Directions 2017 on the consultation on and sharing of legal advices.  	|	Implemented
19.11  	|	Resourcing of the Office of Legal Services Coordination  OLSC should be properly resourced to deliver these functions.  	|	Accept  The Government will ensure that OLSC is adequately resourced to perform its functions, which will enable it to provide the support necessary for agencies to manage legal issues effectively. The Government has provided additional funding for OLSC.  The Government is providing $5.2 million over the forward estimates and $1.1 million per year, ongoing, including additional ongoing staff for the Attorney-General’s Department, to provide improved support and guidance on the significant legal issues regime.  	|	Implemented
19.12  	|	Chief counsel  The Australian Government Legal Service’s General Counsel Charter be amended to place a positive obligation on chief counsel to ensure that the Legal Services Directions 2017 are complied with and to document interactions with OLSC about inquiries made, and responses given, concerning reporting obligations under those Directions.  	|	Accept  The Attorney-General’s Department, in consultation with the Australian Government Legal Service Board and General Counsel, will review and update the General Counsel Charter in light of the recommendations and observations of the Royal Commission.  	|	Implemented
19.13  	|	Review of Bilateral Management Agreement  The revised Bilateral Management Agreement should set out the requirement to consult on and disclose legal advices between the two agencies where any intersection of work is identified.  	|	Accept  In April 2023, the Secretary of the Department of Social Services and the Chief Executive Officer of Services Australia executed a new Head Agreement to support the Bilateral Management Arrangement. Under that agreement both committed to reviewing all Protocols, Service Arrangements and Service Schedules entered into under the former Head Agreement.   Work is underway by both agencies to include the requirement to consult on and disclose relevant legal advices in an updated Protocol. In conjunction, Chief Counsels within the social services portfolio have updated the advice-sharing arrangements agreed in 2021.  	|	Implemented
20.1  	|	AAT cases with significant legal and policy issues  Services Australia should put in place a system for identifying AAT cases which raise significant legal and policy issues and ensuring that they are brought to the attention of senior DSS and Services Australia officers.  	|	Accept  Services Australia and DSS legal areas are updating their Standing Operational Statement which prescribes arrangements to ensure matters which raise significant legal and policy issues are brought to the attention of senior officials, and are also raised with the Office of Legal Services Coordination when required.   Services Australia will also review any revised settings and approaches required, including systems implementation, to support the establishment of the new federal administrative review body, and its procedures, once established.  	|	Implemented
20.2  	|	Training for DHS legal officers  Services Australia legal officers whose duties involve the preparation of advices in relation to AAT decisions should receive training which emphasises the requirements of the Standing Operational Statements in relation to appeal recommendations and referral to DSS; Services Australia’s obligations as a model litigant; and the obligation to pay due regard to AAT decisions and directions.  	|	Accept  Services Australia will update its training packages and provide specific training to lawyers within the Litigation Branch on the Model Litigant Obligations under the Legal Services Directions 2017, as well as the Standing Operational Statement with the Department of Social Services (DSS).  In addition, all in-house lawyers admitted to practice are required to complete mandatory Continuing Legal Education and provide monthly reports of active significant matters.  	|	Implemented
20.3  	|	Identifying significant AAT decisions  DSS should establish, or if it is established, maintain, a system for identifying all significant AAT decisions and bringing them to the attention of its secretary.  	|	Accept  Identification and reporting on significant AAT decisions is governed by Services Australia and the Department of Social Services Standing Operational Statement. The Statement requires Services Australia to notify DSS of significant AAT decisions and provide monthly reporting of active matters.   DSS and Services Australia will consider the impact of the establishment of the new federal administrative review body on its processes for identifying significant matters and will further adjust any processes as required.  	|	Implemented
20.4  	|	Publication of first instance AAT decisions  The federal administrative review body which replaces the AAT should devise a system for publication on a readily accessible platform of first instance social security decisions which involve significant conclusions of law or have implications for social security policy.  	|	Accept  On 29 September 2023, the Government announced that by the end of the year it will introduce legislation to abolish the Administrative Appeals Tribunal (AAT) and replace it with a new body, the Administrative Review Tribunal (ART).  The Government’s proposed legislation to establish the new administrative review body will provide for decisions of the new administrative review body to be published, and will require the publication of decisions that involve a significant conclusion of law or have significant implications for Commonwealth policy or administration. Decisions could also be de-identified before being published if non-disclosure requirements and privacy considerations apply in a particular matter.  	|	Implemented
20.5  	|	Administrative Review Council  Re-instate the Administrative Review Council or a body with similar membership and similar functions, with consideration given to a particular role in review of Commonwealth administrative decision-making processes.  	|	Accept  The Government is developing legislation to repeal the Administrative Appeals Tribunal Act 1975 (Cth) and to establish the Administrative Review Tribunal. The Administrative Review Council (ARC) will also be re-established under the new legislation as an expert body to monitor and advise on the operation and integrity of the Commonwealth administrative review system.   The ARC will provide expertise to improve the quality of government decision-making through the development of guidance, as well as reports to provide early identification of systemic issues and opportunities for improvement across government.   	|	Implemented
21.1  	|	Statutory duty to assist  A statutory duty be imposed on departmental secretaries and agency chief executive officers to ensure that their department or agency use its best endeavours to assist the Ombudsman in any investigation concerning it, with a corresponding statutory duty on the part of Commonwealth public servants within a department or agency being investigated to use their best endeavours to assist the Ombudsman in the investigation.  	|	Accept  The Government agrees that a clearly stated statutory duty, imposed on departmental secretaries and agency chief executive officers, to ensure that their department or agency use its best endeavours to assist the Ombudsman would reinforce the responsibility on heads of agencies to ensure their agency engages in good faith and proactively assists the Commonwealth Ombudsman.   The Government agrees that a corresponding statutory duty on Commonwealth public servants within a department or agency being investigated to use their best endeavours to assist the Commonwealth Ombudsman would ensure the responsibility to assist is clearly individually borne by each of those responsible.   The Government also recognises the importance of the Inspector-General of Taxation and Taxation Ombudsman (IGTO) in providing assurance to the community that taxation laws are being administered with integrity. The Government supports also introducing equivalent statutory duties to investigations conducted by the IGTO.   The Government will progress amendments to relevant legislation to introduce these statutory duties.  	|	Implemented
21.2  	|	Another power to obtain information  The Ombudsman Act be amended to confer on the Ombudsman a power in equivalent terms to that in s 33(3) of the Auditor-General Act.  	|	Accept  The Government will introduce legislation to establish a statutory power equivalent to that of subsection 33(3) of the Auditor-General Act 1997 (Cth). This would ensure the Ombudsman is not dependent upon agencies to undertake searches and provide documents and information, and will complement the Ombudsman’s existing powers to request and compel agencies to provide information.   The Government will also seek to introduce an equivalent power for the Inspector-General of Taxation and Taxation Ombudsman.  	|	Implemented
21.3  	|	Oversight of the legal services division  Departmental and agency responses to own motion investigations by the Ombudsman should be overseen by the legal services division of the relevant department or agency.  	|	Accept in principle  The Government will progress legislative amendments to require that departmental secretaries and agency chief executive officers ensure that their department or agency use its best endeavours to assist the Ombudsman. Consistent with this obligation, departmental secretaries and chief executive officers will ensure responses to Ombudsman investigations are not led or overseen by individuals or divisions directly involved in matters under investigation.  	|	Implemented
21.4  	|	Log of communications  The Ombudsman maintain a log, recording communications with a department or agency for the purposes of an own motion investigation.  	|	Accept  The Commonwealth Ombudsman requires investigators to maintain a log of communications with agencies under investigation when conducting own motion investigations.  	|	Implemented
21.5  	|	Powers of referral  The AAT is soon to be replaced by a new administrative review body. S 10A and s 11 of the Ombudsman Act should be amended so as to ensure the Ombudsman has the powers of referral and recommendation of referral in respect of that new administrative review body.  	|	Accept  The Government is developing legislation to repeal the Administrative Appeals Tribunal Act 1975 (Cth) and to establish a new administrative review body. The Government will introduce consequential amendments to sections 10A and 11 of the Ombudsman Act 1976 (Cth) to retain the power for the Commonwealth Ombudsman to refer or recommend referral of matters to that new body.  	|	Implemented
23.1  	|	Structure of government departments  The Australian Government should undertake an immediate and full review to examine whether the existing structure of the social services portfolio, and the status of Services Australia as an entity, are optimal.  	|	Accept in principle  The Government will be guided by the Royal Commission’s findings when considering the most optimal arrangement of functions and responsibilities between the Department of Social Services and agencies in the social services portfolio, and the status of Services Australia.  	|	Implemented – ongoing
23.2  	|	Obligations of public servants  The APSC should, as recommended by the Thodey Review, deliver whole-of-service induction on essential knowledge required for public servants.  	|	Accept  The APS Induction Pathway (which includes an induction training suite and mandatory modules) provides essential information and guidance to assist new and returning officers to work effectively in the APS.  	|	Implemented
23.3  	|	Fresh focus on “customer service”  Services Australia and DSS should introduce mechanisms to ensure that all new programs and schemes are developed with a customer centric focus, and that specific testing is done to ensure that recipients are at the forefront of each new initiative.  	|	Accept  Services Australia will continue to embed the customer voice in the earliest stages of decision-making, and draw on customer feedback to improve service delivery.  	|	Implemented
23.4  	|	Administrative Review Council  The reinstated Administrative Review Council (or similar body) should provide training and develop resources to inform APS members about the Commonwealth administrative law system.  	|	Accept  The Government agrees that access to training and resources on the Commonwealth administrative law system would support proper and lawful administrative decision-making across the public service. The Government will consider the most effective means through which to deliver this training and guidance.  	|	Implemented
23.5  	|	“Knowledge College”   The Commonwealth should explore the feasibility of establishing an internal college within Services Australia to provide training and development to staff linked to the skills and knowledge required to undertake their duties.  	|	Accept  In 2022, Services Australia formed the Services Australia Learning Academy. The Learning Academy is a networked model of learning faculties and specialist enterprise learning teams, working in partnership to drive connected, professional and consistent learning practice across the agency. This represents a substantial investment in providing all staff with the support, skills and information needed to deliver critical services to the Australian public and to respond to emerging demands on Services Australia. The focus on building capability is reflective of the agency’s approach to supporting staff to deliver world-class customer service, through all methods of customer engagement. This includes providing staff access to training that supports service delivery to customers that may be vulnerable or require additional assistance.   Services Australia will continue to review and assess the need for additional or supplementary training programs that focus on elements of service delivery, where more formal training or a qualification may be of benefit.  	|	Implemented
23.6  	|	Front-line Service  SES staff at Services Australia should spend some time in a front-line service delivery role and with other community partnerships.  	|	Accept  The Government supports Senior Executive Service officials spending time in a front-line service delivery setting or with other community partnerships, to gain exposure and insights to the delivery of government services.  	|	Implemented
